,sentence1,cross1,source1_np0,target1_np0,sentence2,cross2,source2_np0,target2_np0,label
196,Beef burger mix recalled over salmonella concerns,비프 버거 믹스 recalled over salmonella concerns,Beef burger mix,비프 버거 믹스,Choc powder recalled over salmonella concerns,초코가루 recalled over salmonella concerns,Choc powder,초코가루,1.0
197,China launches first air - to - air missile from chopper,China launches 첫 번째 공기 - to - air missile from chopper,first air,첫 번째 공기,China court sentences Bo Xilai to life imprisonment for corruption,중국 법원 sentences Bo Xilai to life imprisonment for corruption,China court,중국 법원,0.6000000238418579
198,Wal - Mart estimates more than 100 million Americans visit their stores every week .,Wal - Mart estimates 1억 명 이상의 미국인 visit their stores every week .,more than 100 million Americans,1억 명 이상의 미국인,"Each week 138 million shoppers visit Wal - Mart ' s 4 , 750 stores .","매주 138 million shoppers visit Wal - Mart ' s 4 , 750 stores .",Each week,매주,2.799999952316284
199,Women to face higher car insurance premiums,Women to face 더 높은 자동차 보험료,higher car insurance premiums,더 높은 자동차 보험료,Women drivers to face insurance premium rise,여성 운전자 to face insurance premium rise,Women drivers,여성 운전자,5.0
200,"On Wednesday , the total of National Guard and Reserve members called to active duty worldwide stood at 154 , 603 .","On Wednesday , 전 세계에서 현역으로 소집된 주 방위군 및 예비군 총 인원 stood at 154 , 603 .",the total of National Guard and Reserve members called to active duty worldwide,전 세계에서 현역으로 소집된 주 방위군 및 예비군 총 인원,"As of yesterday , the total number of National Guard and Reserve troops called to duty worldwide stood at 154 , 603 .","As of yesterday , 전 세계적으로 임무를 수행하도록 소집된 주 방위군 및 예비군 총 수 stood at 154 , 603 .",the total number of National Guard and Reserve troops called to duty worldwide,전 세계적으로 임무를 수행하도록 소집된 주 방위군 및 예비군 총 수,4.0
201,Egyptians to vote for new president,Egyptians to vote for 새 대통령,new president,새 대통령,Somali MPs to elect new president,소말리아 MP to elect new president,Somali MPs,소말리아 MP,0.800000011920929
202,A woman is slicing octopus .,여자 is slicing octopus .,A woman,여자,A man is playing the guitar .,한 남자 is playing the guitar .,A man,한 남자,0.0
203,Red Sox beat Tigers to reach World Series,레드 삭스 beat Tigers to reach World Series,Red Sox,레드 삭스,Red Sox beat Tigers 5 - 2 to advance to World Series,레드 삭스 beat Tigers 5 - 2 to advance to World Series,Red Sox,레드 삭스,4.400000095367432
204,The movement of the ball in the air is called swing bowling .,공중에서 공의 움직임 is called swing bowling .,The movement of the ball in the air,공중에서 공의 움직임,Both of these styles of bowling are performed by bowlers who are medium pace or fast bowlers .,이 두 스타일의 볼링 are performed by bowlers who are medium pace or fast bowlers .,Both of these styles of bowling,이 두 스타일의 볼링,1.7999999523162842
205,"With the power back on , state workers headed back to their jobs Friday morning .","With the power back on , 공무원 headed back to their jobs Friday morning .",state workers,공무원,"Pataki said if power was restored , state workers would be back on the job Friday morning .","Pataki said if power was restored , 공무원 would be back on the job Friday morning .",state workers,공무원,2.5999999046325684
206,"9 dead , 11 hurt , 4 missing in Mont Blanc avalanche","9 dead , 11 hurt , 4 missing in 몽블랑 눈사태",Mont Blanc avalanche,몽블랑 눈사태,"6 dead , several missing in Mont Blanc avalanche","6 dead , 몇 가지 누락 in Mont Blanc avalanche",several missing,몇 가지 누락,2.400000095367432
207,Los Angeles airport worker charged with making 9 / 11 threats,로스앤젤레스 공항 직원 charged with making 9 / 11 threats,Los Angeles airport worker,로스앤젤레스 공항 직원,Los Angeles airport worker charged over 9 / 11 threats,로스앤젤레스 공항 직원 charged over 9 / 11 threats,Los Angeles airport worker,로스앤젤레스 공항 직원,5.0
208,A ballet dancer is performing on stage .,발레 댄서 is performing on stage .,A ballet dancer,발레 댄서,The beaver is being petted .,비버 is being petted .,The beaver,비버,0.0
209,the countries oppose the weaponization of space and an arms race in space .,국가들 oppose the weaponization of space and an arms race in space .,the countries,국가들,china stressed that opposition of weaponization and an arms race in outer space .,china stressed that 무기화 반대와 우주에서의 군비 경쟁 .,opposition of weaponization and an arms race in outer space,무기화 반대와 우주에서의 군비 경쟁,3.200000047683716
210,Semiconductor giant Intel Corp . said yesterday that its second - quarter profits doubled from a year ago as stronger - than - expected demand for computer microprocessors offset the weakness of its communications chip business .,반도체 거대 기업인 Intel Corp said yesterday that its second - quarter profits doubled from a year ago as stronger - than - expected demand for computer microprocessors offset the weakness of its communications chip business .,Semiconductor giant Intel Corp .,반도체 거대 기업인 Intel Corp,Intel Corp . ' s second - quarter profits doubled and revenues grew 8 percent from a year ago as the chip - making giant reported stronger - than - expected demand for personal computer microprocessors .,인텔사 의 second - quarter profits doubled and revenues grew 8 percent from a year ago as the chip - making giant reported stronger - than - expected demand for personal computer microprocessors .,Intel Corp . ' s,인텔사 의,3.799999952316284
211,Six Democrats are vying to succeed Jacques and have qualified for the Feb . 3 primary ballot .,민주당원 6명 are vying to succeed Jacques and have qualified for the Feb . 3 primary ballot .,Six Democrats,민주당원 6명,Six Democrats and two Republicans are running for her seat and have qualified for the Feb . 3 primary ballot .,민주당원 6명과 공화당원 2명 are running for her seat and have qualified for the Feb . 3 primary ballot .,Six Democrats and two Republicans,민주당원 6명과 공화당원 2명,3.400000095367432
212,"The 30 - year bond US30 YT = RR jumped 20 / 32 , taking its yield to 4 . 14 percent from 4 . 18 percent .","30년 만기 채권 US30 YT = RR jumped 20 / 32 , taking its yield to 4 . 14 percent from 4 . 18 percent .",The 30 - year bond US30 YT = RR,30년 만기 채권 US30 YT = RR,The 30 - year bond US30 YT = RR dipped 14 / 32 for a yield of 4 . 26 percent from 4 . 23 percent .,30년 만기 채권 US30 YT = RR dipped 14 / 32 for a yield of 4 . 26 percent from 4 . 23 percent .,The 30 - year bond US30 YT = RR,30년 만기 채권 US30 YT = RR,2.0
213,"Most doctors do recommend rice cereal as the first food , as there is almost no worry of allergic reaction .","대부분의 의사 do recommend rice cereal as the first food , as there is almost no worry of allergic reaction .",Most doctors,대부분의 의사,Eating off a spoon has to be an unusual experience for them .,Eating off a spoon has to be 특이한 경험 for them .,an unusual experience,특이한 경험,0.6700000166893005
214,Floods leave six dead in Philippines,Floods leave 여섯 죽은 in Philippines,six dead,여섯 죽은,Heavy rains leave 18 dead in Philippines,폭우 leave 18 dead in Philippines,Heavy rains,폭우,2.5999999046325684
215,i don ' t want a president who ' cares ' .,i don ' t want 배려하는 대통령 .,a president who ' cares ',배려하는 대통령,i don ' t want a president who is charasmatic .,i don ' t want 카리스마 넘치는 대통령 .,a president who is charasmatic,카리스마 넘치는 대통령,1.0
216,EU extends sanctions against Russia,EU extends 러시아에 대한 제재,sanctions against Russia,러시아에 대한 제재,Nigeria drops arms trafficking charges against Russian sailors,Nigeria drops 러시아 선원에 대한 무기 밀매 혐의,arms trafficking charges against Russian sailors,러시아 선원에 대한 무기 밀매 혐의,0.4000000059604645
217,"A second victim , Michael Walker , 23 , was struck in the torso , the bullet perforating his lung .","두 번째 피해자인 23세 마이클 워커(Michael Walker)는 was struck in the torso , the bullet perforating his lung .","A second victim , Michael Walker , 23 ,",두 번째 피해자인 23세 마이클 워커(Michael Walker)는,"The other victim , Michael Walker , of 550 Barbey Street , was struck in the neck .",550 Barbey Street의 또 다른 피해자인 Michael Walker는 was struck in the neck .,"The other victim , Michael Walker , of 550 Barbey Street ,",550 Barbey Street의 또 다른 피해자인 Michael Walker는,2.200000047683716
218,Brazil ' s ' pop - star priest ' gets mammoth new stage,브라질의 '팝 - 스타 사제' gets mammoth new stage,Brazil ' s ' pop - star priest ',브라질의 '팝 - 스타 사제',Brazil ' s ' Pop - Star Priest ' Gets Mammoth New Stage,브라질의 '팝 - 스타 프리스트' Gets Mammoth New Stage,Brazil ' s ' Pop - Star Priest ',브라질의 '팝 - 스타 프리스트',5.0
219,A cow is eating grass .,소 is eating grass .,A cow,소,A cow is eating hay .,소 is eating hay .,A cow,소,3.799999952316284
220,The man rode his motorcycle down the highway .,그 남자 rode his motorcycle down the highway .,The man,그 남자,A person is driving a motorcycle on a road .,사람 is driving a motorcycle on a road .,A person,사람,3.75
221,Arkansas Supreme Court strikes down execution law,아칸소 대법원 strikes down execution law,Arkansas Supreme Court,아칸소 대법원,Arkansas Justices Strike Down Death Penalty,아칸소 저스티스 Strike Down Death Penalty,Arkansas Justices,아칸소 저스티스,4.599999904632568
222,"Licensing revenue slid 21 percent , however , to $ 107 . 6 million .","라이선스 수익 slid 21 percent , however , to $ 107 . 6 million .",Licensing revenue,라이선스 수익,"License sales , a key measure of demand , fell 21 percent to $ 107 . 6 million .","수요의 핵심 척도인 라이선스 판매, fell 21 percent to $ 107 . 6 million .","License sales , a key measure of demand ,","수요의 핵심 척도인 라이선스 판매,",4.0
223,Two women are posing for the camera and giving the thumbs up sign .,두 여자 are posing for the camera and giving the thumbs up sign .,Two women,두 여자,Two smiling young women giving the thumbs up sign .,두 웃는 젊은 여성 giving the thumbs up sign .,Two smiling young women,두 웃는 젊은 여성,4.400000095367432
224,Singapore shares open 0 . 28 % lower on Thursday,싱가포르 주식 open 0 . 28 % lower on Thursday,Singapore shares,싱가포르 주식,Singapore shares open 0 . 19 % higher on Thursday,싱가포르 주식 open 0 . 19 % higher on Thursday,Singapore shares,싱가포르 주식,2.0
225,Al - Qaida says it captures 70 Yemeni soldiers in Abyan ' s battle,Al - Qaida says it captures 예멘군 70명 in Abyan ' s battle,70 Yemeni soldiers,예멘군 70명,"Al Qaeda clashes , blasts kill 35 soldiers in Yemen","알 카에다 충돌 , blasts kill 35 soldiers in Yemen",Al Qaeda clashes,알 카에다 충돌,1.399999976158142
226,A man riding a white horse .,한 남자 riding a white horse .,A man,한 남자,A woman riding a brown horse .,여자 riding a brown horse .,A woman,여자,1.7999999523162842
227,"The Nasdaq composite index added 30 . 46 points , or 2 percent , to 1 , 520 . 15 .","나스닥 종합 지수 added 30 . 46 points , or 2 percent , to 1 , 520 . 15 .",The Nasdaq composite index,나스닥 종합 지수,"The Nasdaq had a weekly gain of 17 . 27 , or 1 . 2 percent , closing at 1 , 520 . 15 after gaining 30 . 46 yesterday .","나스닥 had a weekly gain of 17 . 27 , or 1 . 2 percent , closing at 1 , 520 . 15 after gaining 30 . 46 yesterday .",The Nasdaq,나스닥,2.400000095367432
228,Two dogs run side - by - side on the grass .,두 마리의 개 run side - by - side on the grass .,Two dogs,두 마리의 개,Two dogs running on grass .,두 마리의 개 running on grass .,Two dogs,두 마리의 개,4.400000095367432
229,Nazi Gestapo chief ' buried in Jewish cemetery ',나치 게슈타포 수장 ' buried in Jewish cemetery ',Nazi Gestapo chief,나치 게슈타포 수장,Nazi chief buried in Jewish cemetary,나치 추장 buried in Jewish cemetary,Nazi chief,나치 추장,4.800000190734863
230,Israeli forces detain 2 in Hebron arrest raid,이스라엘군 detain 2 in Hebron arrest raid,Israeli forces,이스라엘군,Israeli credibility on line over Iran nuclear challenge,이스라엘의 신뢰성 on line over Iran nuclear challenge,Israeli credibility,이스라엘의 신뢰성,2.25
231,Ukrainian presidency says deal reached at crisis talks,우크라이나 대통령 says deal reached at crisis talks,Ukrainian presidency,우크라이나 대통령,Ukraine rivals sign deal to end crisis,우크라이나 라이벌 sign deal to end crisis,Ukraine rivals,우크라이나 라이벌,4.0
232,"A black , brown and white dog running through a field .","검정, 갈색 및 흰색 개 running through a field .","A black , brown and white dog","검정, 갈색 및 흰색 개",A white and brown dog runs in a field .,흰색과 갈색 개 runs in a field .,A white and brown dog,흰색과 갈색 개,2.8299999237060547
233,"I have a few Nikon lenses , and a Sigma 10 - 20 mm for super - wide shots .",I have 니콘 렌즈 몇 개와 초광각 촬영을 위한 시그마 10-20mm .,"a few Nikon lenses , and a Sigma 10 - 20 mm for super - wide shots",니콘 렌즈 몇 개와 초광각 촬영을 위한 시그마 10-20mm,"If your interest is primarily the optics , you need to look at individual lenses , not brands as a whole .","If 너의 흥미 is primarily the optics , you need to look at individual lenses , not brands as a whole .",your interest,너의 흥미,1.7999999523162842
234,A black dog is running in the grass .,검은 개 is running in the grass .,A black dog,검은 개,The black dog is running through the grass .,검은 개 is running through the grass .,The black dog,검은 개,4.800000190734863
235,A boy skateboards down the railing of some graffiti stairs,소년 skateboards down the railing of some graffiti stairs,A boy,소년,A skateboarder is jumping over an obstacle in front of a white house .,스케이트보더 is jumping over an obstacle in front of a white house .,A skateboarder,스케이트보더,2.799999952316284
236,Long - haired black dog standing in grassy field .,Long - 검은 머리 개 standing in grassy field .,haired black dog,검은 머리 개,A blue jay standing in a grassy field .,블루 제이 standing in a grassy field .,A blue jay,블루 제이,1.399999976158142
237,A woman is brushing her feet .,여자 is brushing her feet .,A woman,여자,The sun is rising behind trees .,태양 is rising behind trees .,The sun,태양,0.0
238,mexican president felipe calderon has sent 2800 special agents and soldiers to sinaloa due to the high degree of organized crime and drug trafficking .,펠리페 칼데론 멕시코 대통령 has sent 2800 special agents and soldiers to sinaloa due to the high degree of organized crime and drug trafficking .,mexican president felipe calderon,펠리페 칼데론 멕시코 대통령,mexican president felipe calderon has sent 2800 special agents and soldiers to sinaloa to fight drug trafficking .,펠리페 칼데론 멕시코 대통령 has sent 2800 special agents and soldiers to sinaloa to fight drug trafficking .,mexican president felipe calderon,펠리페 칼데론 멕시코 대통령,4.599999904632568
239,A woman is slicing some tuna .,여자 is slicing some tuna .,A woman,여자,A woman is cutting raw fish .,여자 is cutting raw fish .,A woman,여자,2.799999952316284
240,A black dog running in the snow .,검은 개 running in the snow .,A black dog,검은 개,A black dog running on a beach .,검은 개 running on a beach .,A black dog,검은 개,1.7999999523162842
241,"A key question was whether France , which infuriated Washington by leading the charge against U . N . authorization for the war , would vote "" Yes "" or abstain .","핵심 질문 was whether France , which infuriated Washington by leading the charge against U . N . authorization for the war , would vote "" Yes "" or abstain .",A key question,핵심 질문,"France , which infuriated Washington by leading the charge against U . N . approval for the war , also sought changes .","미국 에 대한 기소 를 주도 하여 워싱턴 을 화나게 한 프랑스  N  전쟁 승인, also sought changes .","France , which infuriated Washington by leading the charge against U . N . approval for the war ,","미국 에 대한 기소 를 주도 하여 워싱턴 을 화나게 한 프랑스  N  전쟁 승인,",2.5999999046325684
242,A woman is dancing in a cage .,여자 is dancing in a cage .,A woman,여자,A woman is dancing .,여자 is dancing .,A woman,여자,3.25
243,A person is adding food in a pan .,사람 is adding food in a pan .,A person,사람,A woman puts rice into a pan .,여자 puts rice into a pan .,A woman,여자,3.0
244,""" There is no doubt about the chemical programme , biological programme , indeed nuclear programme , indeed all that was documented by the UN , "" he said .",""" There is 의심할 여지 없이 화학 프로그램, 생물학적 프로그램, 실제로 핵 프로그램, 실제로 UN에서 문서화한 모든 것 , "" he said .","no doubt about the chemical programme , biological programme , indeed nuclear programme , indeed all that was documented by the UN","의심할 여지 없이 화학 프로그램, 생물학적 프로그램, 실제로 핵 프로그램, 실제로 UN에서 문서화한 모든 것","He added : "" There is no doubt about the chemical programme , the biological programme and indeed the nuclear weapons programme .","He added : "" There is 의심할 여지 없이 화학 프로그램, 생물학적 프로그램, 그리고 실제로 핵무기 프로그램 .","no doubt about the chemical programme , the biological programme and indeed the nuclear weapons programme","의심할 여지 없이 화학 프로그램, 생물학적 프로그램, 그리고 실제로 핵무기 프로그램",3.799999952316284
245,Polls close in Egyptian presidential election,Polls close in 이집트 대선,Egyptian presidential election,이집트 대선,Press Releases : Yemeni Presidential Election,보도 자료 : Yemeni Presidential Election,Press Releases,보도 자료,0.800000011920929
246,The Boston Archdiocese has faced waves of scandal that have not only angered victims ' advocates but parishioners and some priests .,보스턴 대교구 has faced waves of scandal that have not only angered victims ' advocates but parishioners and some priests .,The Boston Archdiocese,보스턴 대교구,"The waves of scandal angered not only victims ' advocates but parishioners and some priests , to the point that Law could no longer run the archdiocese .","스캔들의 파도 angered not only victims ' advocates but parishioners and some priests , to the point that Law could no longer run the archdiocese .",The waves of scandal,스캔들의 파도,3.0
247,Sheep are grazing in a grassy field near a stand of trees .,Sheep are grazing in 나무 스탠드 근처의 잔디밭 .,a grassy field near a stand of trees,나무 스탠드 근처의 잔디밭,Sheep are grazing in the field in front of a line of trees .,Sheep are grazing in 필드 in front of a line of trees .,the field,필드,4.599999904632568
248,A young girl riding a white and grey horse .,어린 소녀 riding a white and grey horse .,A young girl,어린 소녀,a little girl is riding a white and grey horse .,작은 소녀 is riding a white and grey horse .,a little girl,작은 소녀,4.599999904632568
249,the european union and the united states have frozen al - qadi ' s assets .,유럽 연합과 미국 have frozen al - qadi ' s assets .,the european union and the united states,유럽 연합과 미국,the western governments include the united states and france .,서부 정부 include the united states and france .,the western governments,서부 정부,0.4000000059604645
250,Someone drills a hole in a strip of wood with a power drill .,Someone drills a hole in 나무 조각 with a power drill .,a strip of wood,나무 조각,A man drills a hole in a piece of wood .,한 남자 drills a hole in a piece of wood .,A man,한 남자,3.200000047683716
251,The lamb is looking at the camera .,어린 양 is looking at the camera .,The lamb,어린 양,A small bird standing on a log at the waters edge .,작은 새 standing on a log at the waters edge .,A small bird,작은 새,0.0
252,A woman is writing a letter .,여자 is writing a letter .,A woman,여자,A woman is sitting at a desk .,여자 is sitting at a desk .,A woman,여자,1.6670000553131104
253,A man is dicing an onion .,한 남자 is dicing an onion .,A man,한 남자,The man is playing the guitar .,그 남자 is playing the guitar .,The man,그 남자,0.4000000059604645
254,A man puts a knife in a vice .,한 남자 puts a knife in a vice .,A man,한 남자,A man is dancing .,한 남자 is dancing .,A man,한 남자,0.25
255,"So far , they have searched Pennsylvania , Ohio , Michigan , Illinois and Indiana , authorities in those state said .","So far , they have searched Pennsylvania , Ohio , Michigan , Illinois and Indiana , 해당 국가의 당국 said .",authorities in those state,해당 국가의 당국,"So far , authorities also have searched areas in Pennsylvania , Ohio , Indiana , and Michigan .","So far , authorities also have searched 펜실베니아, 오하이오, 인디애나 및 미시간 지역 .","areas in Pennsylvania , Ohio , Indiana , and Michigan","펜실베니아, 오하이오, 인디애나 및 미시간 지역",3.75
256,Egypt presidential election results delayed,이집트 대선 결과 delayed,Egypt presidential election results,이집트 대선 결과,Egyptian election result delayed,이집트 선거 결과 delayed,Egyptian election result,이집트 선거 결과,4.199999809265137
257,Turkey Raises Alarm Over Syrian Refugees,Turkey Raises 시리아 난민에 대한 경보,Alarm Over Syrian Refugees,시리아 난민에 대한 경보,Turkey seeks to relocate some Syrian refugees,Turkey seeks to relocate 일부 시리아 난민,some Syrian refugees,일부 시리아 난민,1.600000023841858
258,Someone is scratching an animals belly .,Someone is scratching 동물의 배 .,an animals belly,동물의 배,A woman is stroking a lemur .,여자 is stroking a lemur .,A woman,여자,2.0
259,Living room or den with large screen television .,거실 또는 서재 with large screen television .,Living room or den,거실 또는 서재,Living room with tan furniture and flat screen television .,거실 with tan furniture and flat screen television .,Living room,거실,3.200000047683716
260,Shooter charged with murder of US black teen,Shooter charged with 미국 흑인 십대 살인,murder of US black teen,미국 흑인 십대 살인,Thoughts on race relations under a black president,Thoughts on 인종 관계 under a black president,race relations,인종 관계,0.800000011920929
261,"Benchmark Treasury 10 - year notes gained 17 / 32 , yielding 4 . 015 percent .","벤치마크 재무부 10년 노트 gained 17 / 32 , yielding 4 . 015 percent .",Benchmark Treasury 10 - year notes,벤치마크 재무부 10년 노트,"The benchmark 10 - year note was recently down 17 / 32 , to yield 4 . 067 percent .","벤치마크 10년 노트 was recently down 17 / 32 , to yield 4 . 067 percent .",The benchmark 10 - year note,벤치마크 10년 노트,2.75
262,A little bird floating in the water .,작은 새 floating in the water .,A little bird,작은 새,A duck floating in the water .,오리 floating in the water .,A duck,오리,2.400000095367432
263,Clinton warns Kenya of cost of election violence,Clinton warns Kenya of 선거 폭력의 대가,cost of election violence,선거 폭력의 대가,Clinton warns Kenya on cost of election unrest,Clinton warns Kenya on 선거 불안 비용,cost of election unrest,선거 불안 비용,4.599999904632568
264,The dog pulled the dogs tail and then his leg .,개 pulled the dogs tail and then his leg .,The dog,개,A monkey pulled a dogs tail .,원숭이 pulled a dogs tail .,A monkey,원숭이,1.75
265,Two white cows in a green pasture .,흰 소 두 마리 in a green pasture .,Two white cows,흰 소 두 마리,The tan horse is in the pasture .,황갈색 말 is in the pasture .,The tan horse,황갈색 말,1.399999976158142
266,A puppy is repeatedly rolling from side to side while on its back .,강아지 is repeatedly rolling from side to side while on its back .,A puppy,강아지,A dog is rolling from side to side .,개 is rolling from side to side .,A dog,개,3.5
267,Toulouse siege : Police surround flat of ' Islamic warrior ' suspected of being serial killer,툴루즈 포위 공격 : Police surround flat of ' Islamic warrior ' suspected of being serial killer,Toulouse siege,툴루즈 포위 공격,Toulouse shooting : France was on the highest level of security of security alert,툴루즈 촬영 : France was on the highest level of security of security alert,Toulouse shooting,툴루즈 촬영,1.7999999523162842
268,Iran says UN nuclear talks will continue,Iran says 유엔 핵 회담 will continue,UN nuclear talks,유엔 핵 회담,Iran says nuclear talks with UN ' constructive ',Iran says 핵 회담 with UN ' constructive ',nuclear talks,핵 회담,2.799999952316284
269,jewish - american group the anti - defamation league ( adl ) published full - page advertisements in swiss and international papers in april 2008 accusing switzerland of funding terrorism through the deal .,유대인 - 미국 그룹 명예 훼손 방지 리그 (adl) published full - page advertisements in swiss and international papers in april 2008 accusing switzerland of funding terrorism through the deal .,jewish - american group the anti - defamation league ( adl ),유대인 - 미국 그룹 명예 훼손 방지 리그 (adl),the anti - defamation league took out full - page advertisments in swiss and international newspapers earlier in april 2008 accusing switzerland of funding terrorism through the deal .,명예훼손방지연맹 took out full - page advertisments in swiss and international newspapers earlier in april 2008 accusing switzerland of funding terrorism through the deal .,the anti - defamation league,명예훼손방지연맹,4.400000095367432
270,A car backs out of a space .,차 backs out of a space .,A car,차,A car is backing out of a blocked lane .,차 is backing out of a blocked lane .,A car,차,3.0
271,A doctor prescribes medicine to a patient .,의사 prescribes medicine to a patient .,A doctor,의사,A doctor prescribes a medicine .,의사 prescribes a medicine .,A doctor,의사,4.400000095367432
272,Spain asks for bank rescue,Spain asks for 은행 구조,bank rescue,은행 구조,Spaniard on trial for Cuban dissident ’ s death,Spaniard on 쿠바 반체제 인사의 죽음에 대한 재판,trial for Cuban dissident ’ s death,쿠바 반체제 인사의 죽음에 대한 재판,0.2000000029802322
273,Three men are sitting down at a table that has drinks on it .,세 남자 are sitting down at a table that has drinks on it .,Three men,세 남자,Three men sitting at the table with beer and food .,세 남자 sitting at the table with beer and food .,Three men,세 남자,3.400000095367432
274,Three women with brown hair are smiling .,갈색 머리를 가진 세 여자 are smiling .,Three women with brown hair,갈색 머리를 가진 세 여자,Three women in Indian dresses in a crowded room smiling .,붐비는 방에서 인도 드레스를 입은 세 명의 여성 smiling .,Three women in Indian dresses in a crowded room,붐비는 방에서 인도 드레스를 입은 세 명의 여성,2.799999952316284
275,Body of missing South Korean shipping tycoon found in field,실종된 한국 해운왕의 시신 found in field,Body of missing South Korean shipping tycoon,실종된 한국 해운왕의 시신,Sewol ferry disaster : Body of South Korean shipping tycoon found,세월호 참사 : Body of South Korean shipping tycoon found,Sewol ferry disaster,세월호 참사,4.199999809265137
276,The man is wearing a black shirt and hat and smiling .,그 남자 is wearing a black shirt and hat and smiling .,The man,그 남자,A man is lifting a little girl above his head .,한 남자 is lifting a little girl above his head .,A man,한 남자,0.0
277,A woman is walking on an open ground with a pet dog as some other dogs follow them .,여자 is walking on an open ground with a pet dog as some other dogs follow them .,A woman,여자,A man is walking with several dogs .,한 남자 is walking with several dogs .,A man,한 남자,2.0
278,NATO soldier dies in Afghanistan,타고난 군인 dies in Afghanistan,NATO soldier,타고난 군인,Two Aust soldiers wounded in Afghanistan,두 오스트리아 군인 wounded in Afghanistan,Two Aust soldiers,두 오스트리아 군인,0.6000000238418579
279,Rebel fighters ' capture ' Syrian soldiers,반란군 전투기 ' capture ' Syrian soldiers,Rebel fighters,반란군 전투기,Free Syrian Army captures Syrian officers,자유 시리아군 captures Syrian officers,Free Syrian Army,자유 시리아군,3.200000047683716
280,Mali interim leader takes office,말리 임시 지도자 takes office,Mali interim leader,말리 임시 지도자,Mali ' s Interim President Sworn Into Office,말리의 임시 대통령 Sworn Into Office,Mali ' s Interim President,말리의 임시 대통령,4.199999809265137
281,any woman that wants birth control can get it .,피임을 원하는 모든 여성 can get it .,any woman that wants birth control,피임을 원하는 모든 여성,Any woman that wants and abortion can get one .,낙태를 원하는 모든 여성 can get one .,Any woman that wants and abortion,낙태를 원하는 모든 여성,1.600000023841858
282,North Korea says to restart nuclear reactor,북한 says to restart nuclear reactor,North Korea,북한,North Korea Offers Talks : Complex May Re - Open,북한 Offers Talks : Complex May Re - Open,North Korea,북한,3.5999999046325684
283,German Shephard jumping through black hoop while people watch,독일 셰퍼드 jumping through black hoop while people watch,German Shephard,독일 셰퍼드,A dog jumps through a hoop .,개 jumps through a hoop .,A dog,개,3.200000047683716
284,A beauty contest to be held in Italy next week may be the first for pixel - perfect pin - ups .,다음 주 이탈리아에서 열리는 미인 대회 may be the first for pixel - perfect pin - ups .,A beauty contest to be held in Italy next week,다음 주 이탈리아에서 열리는 미인 대회,A new beauty contest kicking off in Italy next week will give pixel - perfect pin - ups the chance to steal sultry Sophia ' s sex - symbol status .,다음 주 이탈리아에서 새로운 미인 대회가 시작됩니다 will give pixel - perfect pin - ups the chance to steal sultry Sophia ' s sex - symbol status .,A new beauty contest kicking off in Italy next week,다음 주 이탈리아에서 새로운 미인 대회가 시작됩니다,3.25
285,12 killed in bus accident in Pakistan,12 killed in 버스 사고 in Pakistan,bus accident,버스 사고,10 killed in road accident in NW Pakistan,10 killed in 교통사고 in NW Pakistan,road accident,교통사고,3.200000047683716
286,"Russia , China veto UN resolution on Syria endorsing","러시아, 중국 veto UN resolution on Syria endorsing","Russia , China","러시아, 중국","Russia , China veto U . N . draft backing Arab plan for Syria ( Reuters )","러시아, 중국 veto U . N . draft backing Arab plan for Syria ( Reuters )","Russia , China","러시아, 중국",3.799999952316284
287,Ukraine ' s opposition chief wants more protests,우크라이나 야당 대표 wants more protests,Ukraine ' s opposition chief,우크라이나 야당 대표,Ukraine protesters topple Lenin statue,우크라이나 시위대 topple Lenin statue,Ukraine protesters,우크라이나 시위대,2.400000095367432
288,"Dotson , 21 , was arrested and charged on July 21 after reportedly telling authorities he shot Dennehy after Dennehy tried to shoot him .","닷슨 , 21 , was arrested and charged on July 21 after reportedly telling authorities he shot Dennehy after Dennehy tried to shoot him .","Dotson , 21 ,","닷슨 , 21 ,","Dotson was arrested July 21 after telling FBI agents he shot Dennehy when Dennehy tried to shoot him , according to the arrest warrant affidavit .","Dotson was arrested July 21 after telling FBI 요원 he shot Dennehy when Dennehy tried to shoot him , according to the arrest warrant affidavit .",FBI agents,FBI 요원,4.25
289,Your confusion doesn ' t make me a liar .,당신의 혼란 doesn ' t make me a liar .,Your confusion,당신의 혼란,Then your confusion doesn ' t make me a liar either .,Then 당신의 혼란 doesn ' t make me a liar either .,your confusion,당신의 혼란,3.799999952316284
290,Iran ' s Parliament Questions A Dismissive Ahmadinejad,이란 의회 Questions A Dismissive Ahmadinejad,Iran ' s Parliament,이란 의회,Iran ' s parliament questions President Ahmadinejad,이란 의회 questions President Ahmadinejad,Iran ' s parliament,이란 의회,4.0
291,Four arrested as Bangladesh building toll rises to 352,Four arrested as 방글라데시 건물 통행료 rises to 352,Bangladesh building toll,방글라데시 건물 통행료,Owner arrested as Bangladesh building toll reaches 372,Owner arrested as 방글라데시 건물 통행료 reaches 372,Bangladesh building toll,방글라데시 건물 통행료,2.5999999046325684
292,""" It is safe to assume the Senate is prepared to pass some form of cap , "" King said .",""" It is safe to assume 상원 is prepared to pass some form of cap , "" King said .",the Senate,상원,Its safe to assume the Senate is prepared to pass some form of a cap . . . . The level of it is to be debated .,Its safe to assume the Senate is prepared to pass some form of a cap . . . . 그것의 수준 is to be debated .,The level of it,그것의 수준,3.0
