,sentence1,source1_np0,sentence2,source2_np0,label
395,A person holding a net is standing in the water .,A person holding a net,A black woman and two black children are sitting in a thatched tent .,A black woman and two black children,0.6000000238418579
396,Mann ' s work was all about math .,Mann ' s work,Mann ' s work and the HS was all about Tree rings .,Mann ' s work and the HS,1.600000023841858
397,A man in a red jacket holds his bike for the picture .,A man in a red jacket,A woman in a red jacket is video taping a natural landscape .,A woman in a red jacket,0.4000000059604645
398,"Previously , it had reported a profit of $ 12 million , or 0 cents a share , for that period .","a profit of $ 12 million , or 0 cents a share , for that period","Previously , it had reported a small profit of $ 12 million , or break - even on a per - share basis , for the period .","a small profit of $ 12 million , or break - even on a per - share basis , for the period",4.400000095367432
399,A woman is slicing an onion .,A woman,A man is slicing a tomato .,A man,1.2000000476837158
400,A person is standing underneath an overpass near a highway .,A person,A person walks a dog along the water ' s edge .,A person,0.2000000029802322
401,Russian parliament allows Putin to use military in Ukraine,Russian parliament,President Obama warns Russia to stay out of Ukraine,President Obama,1.0
402,Two men compete in a tire rolling race .,Two men,Two people flipped tractor tires in a race .,Two people,2.75
403,Two boys are jumping into a pool .,Two boys,Two boys are in midair jumping into an inground pool .,Two boys,4.199999809265137
404,The fines are part of failed Republican efforts to force or entice the Democrats to return .,The fines,"Perry said he backs the Senate ' s efforts , including the fines , to force the Democrats to return .","the Senate ' s efforts , including the fines , to force the Democrats to return",2.799999952316284
405,FBI audio expert testifies in Zimmerman trial,FBI audio expert,Jury selection begins in Zimmerman ' s trial,Jury selection,1.399999976158142
406,I once met a physicists who held the strong AI position .,a physicists who held the strong AI position,"Although I believe Searle is mistaken , I don ' t think you have found the problem .",the problem,0.2000000029802322
407,Israel threatens action against Gaza aid ship,action against Gaza aid ship,Israel attacks in Gaza Strip after rocket fire,Israel attacks,1.600000023841858
408,"The department ' s position threatens to alienate social conservatives , who have provided strong political support for Mr . Ashcroft and President Bush .",The department ' s position,"The department ' s stance disappointed some abortion opponents , and it threatens to alienate social conservatives who have provided strong political support for Ashcroft and President Bush .",The department ' s stance,3.75
409,The man poses for a photo in front of the train .,The man,A man stands on a platform in front of a silver train .,A man,3.400000095367432
410,A panda is climbing .,A panda,A man is climbing a rope .,A man,1.600000023841858
411,A man is wind sailing in the ocean .,A man,A dog is running through the ocean .,A dog,1.399999976158142
412,Ballmer has been vocal in the past warning that Linux is a threat to Microsoft .,the past warning that Linux is a threat to Microsoft,"In the memo , Ballmer reiterated the open - source threat to Microsoft .",the memo,3.0
413,An airplane moves along a runway .,An airplane,A plane is landing on a runway .,A plane,2.799999952316284
414,"The farther away , the faster the galaxies move away from us .",the galaxies,Here is my answer to a similar question posted on the physics stack exchange website .,my answer to a similar question posted on the physics stack exchange website,0.0
415,A black dog and a white dog playing in the street .,A black dog and a white dog,A black dog and a white dog play in the street together .,A black dog and a white dog,4.599999904632568
416,A couple holds a baby .,A couple,Couple with newborn baby .,newborn baby,4.199999809265137
417,A man laying down and shooting a gun,A man,A man is laying on the ground shooting a rifle .,A man,3.799999952316284
418,Two women stand in a living room with a black dog .,Two women,Two women standing in a living room with a black dog looking towards the camera .,Two women,4.0
419,US Afghanistan general linked to Petraeus scandal,US Afghanistan general,Senior US general linked to Petraeus scandal,Senior US general,3.799999952316284
420,Bollywood cuts costs by a third as rupee collapse bites,rupee collapse bites,Bollywood cuts costs as rupee crisis bites,rupee crisis bites,4.199999809265137
421,A man lays on the ground and aims a rifle .,A man,A man is spreading butter on a tortilla .,A man,0.0
422,Two different breeds of brown and white dogs play on the beach .,Two different breeds of brown and white dogs,Two dogs playing in the sand at the beach .,Two dogs,4.0
423,Voting canceled in three provinces in tense Thai election,three provinces,Cambodian opposition rejects Hun Sen election win,Cambodian opposition,0.0
424,"Dubbed Project Mad Hatter , the Linux - based desktop is being promoted by Sun as a more secure and less expensive alternative to Windows .",the Linux - based desktop,"Designed to compete with Microsoft Corp . , Project Mad Hatter is being positioned by Sun as a cheaper , secure alternative desktop operating system to Microsoft ' s various desktop offerings .",Project Mad Hatter,3.799999952316284
425,A man plays the guitar and sings .,A man,A man is singing and playing a guitar .,A man,5.0
426,The blasts killed two people and injured more than 150 others .,The blasts,The Atlanta Olympic Games attack killed one woman and injured more than 100 other people .,The Atlanta Olympic Games attack,1.7999999523162842
427,Spanish bailout dilemma gets more acute,Spanish bailout dilemma,Spanish dilemma gets more acute,Spanish dilemma,3.400000095367432
428,Everyone else at the current prosperity level of Mexico .,Everyone else,"Everyone in the world at the current "" prosperity "" level of Northwest Africa .",the world,1.399999976158142
429,South Africa prays for Nelson Mandela,South Africa,South Africa unites in prayer and song for Nelson Mandela,South Africa,4.199999809265137
430,The cats are playing with each other .,The cats,Two cats are fighting each other .,Two cats,2.5999999046325684
431,I agree with others ( and yourself ) in that I have never heard this phrase in English .,others ( and yourself ),I have never heard or seen the phrase you mention .,the phrase you mention,4.0
432,"TVT Records sought $ 360 million in punitive damages and $ 30 million in compensatory damages , officials said .",TVT Records,The damages included $ 24 million in compensatory damages and $ 52 million in punitive damages for IDJ .,The damages,1.25
433,A man is riding on a horse .,A man,A woman is riding an elephant .,A woman,1.5329999923706057
434,A black and white image of a cat laying on a rug .,A black and white image,Black and white picture of a cat laying on a rug .,Black and white picture,5.0
435,Sail boat sailing on the water .,the water,Sailboat sailing on a cloudy day .,Sailboat sailing,3.400000095367432
436,"Glover said the killer used a "" peculiar slipknot "" on the ligature he used to strangle some of the victims .",the killer,"Glover said the killer used a ` ` peculiar slipknot , ' ' including a coaxial cable and an extension cord , to strangle some of the victims .",the killer,3.400000095367432
437,A man is placing meat inside a plastic bag .,A man,A woman is carrying a wallaby in a bag .,A woman,0.4000000059604645
438,I guess I pulled it out of the census ' s rear end in a top hat .,a top hat,Does the census have an rear end in a top hat ?,the census,2.5999999046325684
439,Dignitaries pay tribute to Paul Desmarais,Paul Desmarais,Stars pay tribute to James Garner,James Garner,0.4000000059604645
440,Israel frees Palestinian prisoners,Palestinian prisoners,Israel releases 26 Palestinian prisoners,26 Palestinian prisoners,4.599999904632568
441,"The report forecasts there will be 71 , 079 hot spots worldwide this year , up from just 14 , 752 in 2002 and 1 , 214 in 2001 .",The report,"The report also claims that there will be up to 9 . 3 million visitors to hot spots this year , up again from the meagre 2 . 5 million in 2002 .",The report,1.75
442,6 . 9 magnitude earthquake hits New Zealand,6 . 9 magnitude earthquake,5 . 6 magnitude earthquake shakes Iran,5 . 6 magnitude earthquake,0.2000000029802322
443,I thought that was mostly just the Dutch .,the Dutch,It is mostly just the Dutch .,just the Dutch,4.0
444,at the state scientific center of applied microbiology there is every kind of deadly bacteria that was studied for use in the secret biological weapons program of the soviet union .,the state scientific center of applied microbiology,the state scientific center of applied microbiology has been working with western scientists to convert the complex into a biomedical manufacturing site .,the state scientific center of applied microbiology,3.400000095367432
445,Black and white cows behind a fence .,Black and white cows,Two black and white cows behind a metal gate against a partly cloudy blue sky .,Two black and white cows,3.200000047683716
446,Hezbollah ' s Nasrallah warns US over anti - Islam film,Hezbollah ' s Nasrallah,Hezbollah calls for more anti - Islam film protests,more anti - Islam film protests,2.799999952316284
447,India Ink : Image of the Day : July 2,India Ink,India Ink : Image of the Day : March 4,India Ink,3.0
448,"Two U . S . soldiers shot , killed by Afghan soldier",Two U . S . soldiers,Two British soldiers killed by Afghan policeman,Two British soldiers,1.600000023841858
449,""" Today , we are trying to convey this problem to Russian President Vladimir Putin and US President George W Bush . """,this problem,""" Today , we are trying to convey this problem to Russian President Vladimir Putin ( news - web sites ) and President Bush ( news - web sites ) . """,this problem,4.599999904632568
450,A brown dog is splashing water everywhere by shaking the water off of itself .,A brown dog,A white dog is standing by a river shaking himself dry .,A white dog,2.400000095367432
451,"Announcing the selection , Kmart CEO Julian Day said Grey will help the retailer "" find creative ways to communicate the unique strengths of Kmart to the new America consumer . """,Kmart CEO Julian Day,"Together , we will find creative ways to communicate the unique strengths of Kmart to the ' new America ' consumer . """,creative ways to communicate the unique strengths of Kmart to the ' new America ' consumer,3.25
452,Islamic State issues video of beheading of US hostage,Islamic State,Islamic State posts second propaganda video of UK hostage,Islamic State,3.0
453,The settlement includes $ 4 . 1 million in attorneys ' fees and expenses .,The settlement,Plaintiffs ' attorneys would get $ 4 . 1 million of the settlement .,Plaintiffs ' attorneys,4.5
454,His dissent was joined by Chief Justice William H . Rehnquist and Justice Clarence Thomas .,His dissent,Chief Justice William H . Rehnquist and Justices Antonin Scalia and Clarence Thomas dissented .,Chief Justice William H . Rehnquist and Justices Antonin Scalia and Clarence Thomas,3.799999952316284
455,A yellow and blue airplane is flying in the sky .,A yellow and blue airplane,The white airplane is flying in the blue sky .,The white airplane,3.200000047683716
456,The woman is rolling dough .,The woman,A woman is flouring and rolling dough .,A woman,3.765000104904175
457,"The new version , W32 / Sobig . C - mm , had already reached a "" high level "" outbreak status by Monday , according to security analysts .","The new version , W32 / Sobig . C - mm ,","Security analysts said the new version , W32 / Sobig . C - mm , had already reached a "" high level "" outbreak status by mid - afternoon on Monday .",Security analysts,4.5
458,"However , other unions including the powerful CGT remained opposed to the reform and demanded the government begin fresh negotiations with them .",other unions including the powerful CGT,"The powerful CGT and other unions remained opposed to the plans , however , and demanded the government renegotiate the reform with them .",The powerful CGT and other unions,4.0
459,A woman is carrying a boy .,A woman,A woman is carrying her baby .,A woman,2.3329999446868896
460,A white dog walking in the snow .,A white dog,A black and tan dog walking through the snow .,A black and tan dog,3.0
461,Couple sailing in a small sailboat .,Couple sailing,Two men sailing in a small sailboat .,Two men,3.0
462,Suarez set for Cup comeback,Cup comeback,French set for Mali ground combat,Mali ground combat,0.800000011920929
463,A brown and white dog is walking next to a man on a skateboard .,A brown and white dog,A blond child is laying on a branch of a tree in a green field .,A blond child,0.0
464,Veteran entertainer Bob Hope celebrates his 100 th birthday - and many years in showbusiness - on Thursday .,Veteran entertainer Bob Hope,Hollywood and the world are gearing up to celebrate legendary entertainer Bob Hope ' s 100 th birthday on Thursday .,Hollywood and the world,3.75
465,"The rapper ' s lawyer , Mark Gann , didn ' t return calls for comment .","The rapper ' s lawyer , Mark Gann ,","The 27 - year - old rapper ' s attorney in the civil matter , Mark Gann , did not return calls for comment .","The 27 - year - old rapper ' s attorney in the civil matter , Mark Gann ,",4.5
466,Queen pays tribute to Nelson Mandela,Nelson Mandela,US presidents pay tribute to Mandela,US presidents,1.600000023841858
467,Do you notice the nonsensical things you are saying ?,the nonsensical things you are saying,"And to be fair , do you notice the nonsensical things you are saying ?",the nonsensical things you are saying,4.5714287757873535
468,A woman riding a brown horse .,A woman,Person dressed in blue riding brown horse .,blue riding brown horse,2.5999999046325684
469,""" PNC regrets its involvement "" in the deals , Chairman and Chief Executive Officer James Rohr said in a statement .",Chairman and Chief Executive Officer James Rohr,"James Rohr , chairman and chief executive officer , said PNC regretted the incident .","James Rohr , chairman and chief executive officer ,",4.333000183105469
470,Germany warns Greece : No more money without reforms,No more money without reforms,Euro zone to Greece : No rescue without reforms,Euro zone to Greece,2.5999999046325684
471,A little boy and a little girl playing together outside .,A little boy and a little girl,A young boy and a young girl walking towards each other,A young boy and a young girl,2.0
472,"Firstly , you should be aware that there are two different kinds of dashes : the en dash and the em dash .",two different kinds of dashes : the en dash and the em dash,"Semicolon is used to join sentences that can stand alone , but are joined to emphasize their relationship .",sentences that can stand alone,0.6000000238418579
473,Suicide bomber kills 16 in Afghanistan,Suicide bomber,Suicide bomber kills 12 in Nigeria church,Suicide bomber,1.2000000476837158
474,A person is frying meat in a pan .,A person,A person is holding a skunk .,A person,0.75
475,"People who have opposed these actions throughout are now trying to find fresh reasons to say this wasn ' t the right thing to do . """,People who have opposed these actions throughout,""" What is happening here is that people who have opposed this action throughout are trying to find fresh reasons why it was not the right thing to do . """,people who have opposed this action throughout,4.0
476,Japan scrambles jets against Russian military planes,Russian military planes,"Separatists down Ukraine military plane , several dead",Separatists down Ukraine military plane,0.800000011920929
477,Armenians vote in parliamentary elections,parliamentary elections,Armenia ' s parliamentary vote a test for president,Armenia ' s parliamentary vote,3.200000047683716
478,"Navy jet crashes into US apartments , pilots eject",Navy jet,U . S . Navy Jet Crashes Into Virginia Apartment Buildings,Virginia Apartment Buildings,3.400000095367432
479,iran has noticeably increased the number of executions in recent months as officials enforce a campaign aimed at promoting virtue and boosting security in,the number of executions,iranian officials have increased executions in 2007 as officials enforce a campaign purportedly aimed at promoting virtue and boosting security in society .,iranian officials,3.5999999046325684
480,"The Portuguese weather service said Europe ' s heatwave was caused by a mass of hot , dry air moving from the southeast .",The Portuguese weather service,"The heatwave was due to a mass of hot , dry air from the southeast , said Mario Almeida of Portugal ' s weather service .",Mario Almeida of Portugal ' s weather service,4.056000232696533
481,Search leader urges caution in findings related to missing Malaysian jetliner,Search leader,Searchers hoping pings come from lost Malaysian airliner,lost Malaysian airliner,1.0
482,A woman is chopping a hard egg .,A woman,A person is cutting boiled egg into pieces .,A person,3.532999992370605
483,shalgam ' s visit to london is the first by a libyan foreign minister since 1969 .,shalgam ' s visit to london,a visit to libya by the russian foreign minister was announced .,a visit to libya by the russian foreign minister,2.5999999046325684
484,Gusmao consolidates power in East Timor elections,East Timor elections,Gusmao powers on in East Timor,East Timor,3.5999999046325684
485,A pair of dogs playing with a purple ball .,A pair of dogs,Two dogs play with purple football .,Two dogs,4.400000095367432
486,Some men are fighting .,Some men,Two men are fighting .,Two men,4.25
487,Syrian fighter pilot defects to Jordan,Syrian fighter pilot defects,Syrian PM defects to Jordan,Syrian PM,1.399999976158142
488,""" We had nothing to do with @ Stake ' s internal personnel decision , "" Microsoft spokesman Sean Sundwell said .",Microsoft spokesman Sean Sundwell,""" Microsoft had absolutely nothing to do with AtStake ' s internal personnel decision , "" Sundwall said .",absolutely nothing to do with AtStake ' s internal personnel decision,4.199999809265137
489,Just so long as the tax on that sale is paid .,the tax on that sale,Just so long as the tax is paid .,the tax,3.799999952316284
490,""" Generally unwanted - and often pornographic or with fraudulent intent - spam is a nuisance and a distraction , "" Gates writes , warming us up for the punchline .",fraudulent intent,"Generally unwanted — and often pornographic or with fraudulent intent — spam is a nuisance and a distraction , "" Gates writes .",fraudulent intent,4.199999809265137
491,A group of people sitting around a table on a porch .,A group,A group of people sitting around a table with food on it .,A group,3.5999999046325684
492,A young child rides a horse .,A young child,The little girl rode a horse .,The little girl,3.200000047683716
493,A woman is dancing in the rain .,A woman,A woman is dancing in railway station .,A woman,2.0
494,"Graham , a presidential candidate , was criticized by several Republicans as ' ' politicizing ' ' the report .","Graham , a presidential candidate ,","Graham , who co - chaired the inquiry , is a presidential candidate .","Graham , who co - chaired the inquiry ,",2.25
495,""" This is an easy case in my view and wholly without merit , both factually and legally . """,an easy case in my view,""" This case is wholly without merit , both factually and legally , "" Judge Denny Chin scoffed .",Judge Denny Chin,3.25
496,Algerian priest to lecture about Christian heritage in N . Africa,Algerian priest,Telstra applies to list China site in NY,China site,0.0
497,A small baby is playing a guitar .,A small baby,"A boy sits on a bed , sings and plays a guitar .",A boy,2.0
498,A black dog is running in snow .,A black dog,A black dog is swimming with a ball in it ' s mouth .,A black dog,1.7999999523162842
499,A person is slicing a tomato .,A person,A person is slicing some meat .,A person,1.75
