,sentence,cross,source_np0,target_np0,label
335,will not go down in the annals of cinema as one of the great submarine stories,will not go down in 영화의 연대기 as one of the great submarine stories,the annals of cinema,영화의 연대기,0
336,is an imaginative teacher of emotional intelligence in this engaging film about two men who discover what william james once called ` the gift of tears,is 상상력이 풍부한 감성 지능 교사 in this engaging film about two men who discover what william james once called ` the gift of tears,an imaginative teacher of emotional intelligence,상상력이 풍부한 감성 지능 교사,1
337,something of bubba ho - tep ' s clearly evident quality,부바 호의 무언가 - tep ' s clearly evident quality,something of bubba ho,부바 호의 무언가,1
338,a beautiful paean to a time long past,아름다운 찬가 to a time long past,a beautiful paean,아름다운 찬가,1
339,predictable plotting and tiresome histrionics,예측 가능한 플로팅 and tiresome histrionics,predictable plotting,예측 가능한 플로팅,0
340,this mess of a movie,이 난장판 of a movie,this mess,이 난장판,0
341,"' s a rollicking adventure for you and all your mateys , regardless of their ages .","' s 신나는 모험 for you and all your mateys , regardless of their ages .",a rollicking adventure,신나는 모험,1
342,"directed , highly professional film that ' s old - fashioned in all the best possible ways","directed , 고도로 전문적인 영화 that ' s old - fashioned in all the best possible ways",highly professional film,고도로 전문적인 영화,1
343,"' s a sweet , laugh - a - minute crowd pleaser that lifts your spirits as well as the corners of your mouth",' s 당신의 영혼과 입꼬리를 들어 올리는 달콤한 웃음,"a sweet , laugh - a - minute crowd pleaser that lifts your spirits as well as the corners of your mouth",당신의 영혼과 입꼬리를 들어 올리는 달콤한 웃음,1
344,be wholesome and subversive at the same time,be wholesome and subversive at 동시,the same time,동시,1
345,has a whip - smart sense of narrative bluffs,has 채찍 - 내러티브 블러프의 영리한 감각,a whip - smart sense of narrative bluffs,채찍 - 내러티브 블러프의 영리한 감각,1
346,"more mature than fatal attraction , more complete than indecent proposal and","more mature than 치명적인 매력 , more complete than indecent proposal and",fatal attraction,치명적인 매력,1
347,"recommended viewing for its courage , ideas , technical proficiency and great acting .","recommended viewing for 그 용기, 아이디어, 기술 숙련도 및 훌륭한 연기 .","its courage , ideas , technical proficiency and great acting","그 용기, 아이디어, 기술 숙련도 및 훌륭한 연기",1
348,the man who bilked unsuspecting moviegoers,그 남자 who bilked unsuspecting moviegoers,the man,그 남자,0
349,offers much to absorb and even more to think about after the final frame,offers 많이 흡수 and even more to think about after the final frame,much to absorb,많이 흡수,1
350,"o fantasma is boldly , confidently orchestrated , aesthetically and sexually , and its impact is deeply and rightly disturbing .","귀신 is boldly , confidently orchestrated , aesthetically and sexually , and its impact is deeply and rightly disturbing .",o fantasma,귀신,1
351,showtime the most savory and hilarious guilty pleasure of many a recent movie season,showtime 최근 많은 영화 시즌 중 가장 맛있고 유쾌한 길티 플레저,the most savory and hilarious guilty pleasure of many a recent movie season,최근 많은 영화 시즌 중 가장 맛있고 유쾌한 길티 플레저,1
352,not only learning but inventing a remarkable new trick .,not only learning but inventing 놀라운 새로운 트릭 .,a remarkable new trick,놀라운 새로운 트릭,1
353,"you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet .","you may think you have figured out 사기꾼과 플레이어 in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet .",the con and the players,사기꾼과 플레이어,0
354,this world more complex,이 세상 more complex,this world,이 세상,1
355,inherent in how medical aid is made available to american workers,inherent in how 의료 지원 is made available to american workers,medical aid,의료 지원,1
356,the film would be a total washout .,영화 would be a total washout .,the film,영화,0
357,"it ' s a beautiful film , full of elaborate and twisted characters",it ' s 정교하고 뒤틀린 캐릭터로 가득한 아름다운 영화,"a beautiful film , full of elaborate and twisted characters",정교하고 뒤틀린 캐릭터로 가득한 아름다운 영화,1
358,"in its own floundering way , it gets to you .","in 자신의 허둥대는 방식 , it gets to you .",its own floundering way,자신의 허둥대는 방식,1
359,"if you are curious to see the darker side of what ' s going on with young tv actors ( dawson leery did what ? ! ? ) , or see some interesting storytelling devices , you might want to check it out , but there ' s nothing very attractive about this movie","if you are curious to see the darker side of what ' s going on with young tv actors ( dawson leery did what ? ! ? ) , or see some interesting storytelling devices , you might want to check it out , but there ' s 이 영화에 대해 그다지 매력적이지 않습니다",nothing very attractive about this movie,이 영화에 대해 그다지 매력적이지 않습니다,0
360,jackass is a vulgar and cheap - looking version of candid camera staged for the marquis de sade set,jackass is 저속하고 싸구려 - 마르키 드 사드 세트장을 위해 상연된 솔직한 카메라 버전,a vulgar and cheap - looking version of candid camera staged for the marquis de sade set,저속하고 싸구려 - 마르키 드 사드 세트장을 위해 상연된 솔직한 카메라 버전,0
361,show us a good time,show us 좋은 시간,a good time,좋은 시간,1
362,fights the good fight in vietnam in director randall wallace ' s flag - waving war flick with a core of decency .,fights 베트남의 선한 싸움 in director randall wallace ' s flag - waving war flick with a core of decency .,the good fight in vietnam,베트남의 선한 싸움,1
363,enhances the personal touch of manual animation .,enhances 수동 애니메이션의 개인적인 터치 .,the personal touch of manual animation,수동 애니메이션의 개인적인 터치,1
364,overwhelmed by its lack of purpose,overwhelmed by 그것의 목적의 부족,its lack of purpose,그것의 목적의 부족,0
365,"as the latest bid in the tv - to - movie franchise game , i spy makes its big - screen entry with little of the nervy originality of its groundbreaking small - screen progenitor .","as TV 대 영화 프랜차이즈 게임의 최신 입찰 , i spy makes its big - screen entry with little of the nervy originality of its groundbreaking small - screen progenitor .",the latest bid in the tv - to - movie franchise game,TV 대 영화 프랜차이즈 게임의 최신 입찰,0
366,"even if it is generally amusing from time to time , i spy has all the same problems the majority of action comedies have .","even if it is generally amusing from time to time , 나는 스파이 has all the same problems the majority of action comedies have .",i spy,나는 스파이,0
367,great fun both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium - seat megaplex,큰 재미 both for sports aficionados and for ordinary louts whose idea of exercise is climbing the steps of a stadium - seat megaplex,great fun,큰 재미,1
368,", the update is dreary and sluggish .",", 업데이트 is dreary and sluggish .",the update,업데이트,0
369,"the compassion , good - natured humor and the level of insight that made ( eyre ' s ) first film something of a sleeper success","연민, 좋은 성격의 유머 and the level of insight that made ( eyre ' s ) first film something of a sleeper success","the compassion , good - natured humor","연민, 좋은 성격의 유머",1
370,"to surprising highs , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving","to 놀라운 최고 , sorrowful lows and hidden impulsive niches . . . gorgeous , passionate , and at times uncommonly moving",surprising highs,놀라운 최고,1
371,"is the performance of gedeck , who makes martha enormously endearing",is 마사를 엄청나게 사랑스럽게 만드는 gedeck의 연기,"the performance of gedeck , who makes martha enormously endearing",마사를 엄청나게 사랑스럽게 만드는 gedeck의 연기,1
372,it lacks the novel charm that made spy kids a surprising winner with both adults and younger audiences,it lacks 스파이키즈를 성인과 미성년자를 모두 사로잡은 의외의 승자로 만든 참신한 매력,the novel charm that made spy kids a surprising winner with both adults and younger audiences,스파이키즈를 성인과 미성년자를 모두 사로잡은 의외의 승자로 만든 참신한 매력,0
373,the film is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama,영화 is also imbued with strong themes of familial ties and spirituality that are powerful and moving without stooping to base melodrama,the film,영화,1
374,suck the audience in,suck 관객 in,the audience,관객,1
375,"a lovely film . . . elegant , witty and beneath a prim exterior unabashedly romantic . . . hugely enjoyable in its own right though not really faithful to its source ' s complexity","a lovely film . . . elegant , witty and beneath 첫 외관부터 unabashedly romantic . . . hugely enjoyable in its own right though not really faithful to its source ' s complexity",a prim exterior,첫 외관부터,1
376,"is such high - wattage brainpower coupled with pitch - perfect acting and an exquisite , unfakable sense of cinema",is 완벽한 연기와 절묘하고 위조할 수 없는 영화 감각과 결합된 이러한 높은 와트의 두뇌 능력,"such high - wattage brainpower coupled with pitch - perfect acting and an exquisite , unfakable sense of cinema",완벽한 연기와 절묘하고 위조할 수 없는 영화 감각과 결합된 이러한 높은 와트의 두뇌 능력,1
377,to call the other side of heaven ` ` appalling ' ' would be to underestimate just how dangerous entertainments like it can be .,to call 천국의 반대편 ''소름끼치는 '' would be to underestimate just how dangerous entertainments like it can be .,the other side of heaven ` ` appalling ' ',천국의 반대편 ''소름끼치는 '',0
378,to the floor with a sickening thud,to 바닥 with a sickening thud,the floor,바닥,0
379,carry on their parents ' anguish,carry on 부모의 고뇌,their parents ' anguish,부모의 고뇌,0
380,a captivating coming - of - age story that may also be the first narrative film to be truly informed by the wireless,a captivating coming - of - 나이 이야기 that may also be the first narrative film to be truly informed by the wireless,- age story,- 나이 이야기,1
381,go the distance,go 거리,the distance,거리,1
382,breaking new ground,breaking 새로운 땅,new ground,새로운 땅,1
383,an uneasy mix of sensual delights and simmering violence,불안한 믹스 of sensual delights and simmering violence,an uneasy mix,불안한 믹스,1
384,"the actors are simply too good , and the story too intriguing","배우들 are simply too good , and the story too intriguing",the actors,배우들,1
385,like a docu - drama but builds its multi - character story with a flourish,like a docu - drama but builds 멀티 캐릭터 스토리 with a flourish,its multi - character story,멀티 캐릭터 스토리,1
386,the ease with which it integrates thoughtfulness and pasta - fagioli comedy,용이함 with which it integrates thoughtfulness and pasta - fagioli comedy,the ease,용이함,1
387,", fine music never heard",", 좋은 음악 never heard",fine music,좋은 음악,1
388,smaller numbered kidlets will enjoy .,번호가 작은 꼬마들 will enjoy .,smaller numbered kidlets,번호가 작은 꼬마들,1
389,"a chilly , brooding but quietly resonant psychological study of domestic tension and unhappiness",차갑고 우울하지만 조용히 공명하는 심리학 연구 of domestic tension and unhappiness,"a chilly , brooding but quietly resonant psychological study",차갑고 우울하지만 조용히 공명하는 심리학 연구,1
390,standard guns versus martial arts cliche with little new added .,표준 총 대 무술 진부 with little new added .,standard guns versus martial arts cliche,표준 총 대 무술 진부,0
391,will have an intermittently good time .,will have 간헐적으로 좋은 시간 .,an intermittently good time,간헐적으로 좋은 시간,1
392,the awe in which it holds itself,경외 in which it holds itself,the awe,경외,1
393,"' s a pedestrian , flat drama that screams out ` amateur ' in almost every frame",' s 거의 모든 프레임에서 '아마추어'를 외치는 평범하고 평범한 드라마,"a pedestrian , flat drama that screams out ` amateur ' in almost every frame",거의 모든 프레임에서 '아마추어'를 외치는 평범하고 평범한 드라마,0
394,"nothing compared to the movie ' s contrived , lame screenplay and listless direction",nothing compared to 영화의 인위적이고 절름발이 각본과 냉정한 연출,"the movie ' s contrived , lame screenplay and listless direction",영화의 인위적이고 절름발이 각본과 냉정한 연출,0
395,offering next to little insight into its intriguing subject,offering 작은 통찰력 옆에 into its intriguing subject,next to little insight,작은 통찰력 옆에,0
396,' s not a comedic moment in this romantic comedy,' s not 코믹한 순간 in this romantic comedy,a comedic moment,코믹한 순간,0
397,"armed with a game supporting cast ,","armed with 게임 지원 캐스트 ,",a game supporting cast,게임 지원 캐스트,1
398,kapur ' s contradictory feelings about his material result in a movie that works against itself .,그의 자료에 대한 kapur의 상반된 감정 result in a movie that works against itself .,kapur ' s contradictory feelings about his material,그의 자료에 대한 kapur의 상반된 감정,0
399,blue crush is as predictable as the tides .,블루 크러시 is as predictable as the tides .,blue crush,블루 크러시,0
400,"the most plain , unimaginative romantic comedies i",가장 평범하고 상상력이 없는 로맨틱 코미디 i,"the most plain , unimaginative romantic comedies",가장 평범하고 상상력이 없는 로맨틱 코미디,0
401,"satisfies , as comfort food often can","satisfies , as 편안한 음식은 종종 할 수 있습니다",comfort food often can,편안한 음식은 종종 할 수 있습니다,1
402,none - too - funny commentary on the cultural distinctions between americans and brits,none - too - 미국인과 영국인의 문화적 차이에 대한 재미있는 논평,funny commentary on the cultural distinctions between americans and brits,미국인과 영국인의 문화적 차이에 대한 재미있는 논평,0
403,"eludes madonna and , playing a charmless witch","eludes madonna and , playing 매력없는 마녀",a charmless witch,매력없는 마녀,1
404,"one of these days hollywood will come up with an original idea for a teen movie ,","요즘 중 하나 hollywood will come up with an original idea for a teen movie ,",one of these days,요즘 중 하나,0
405,", is a note of defiance over social dictates .",", is 사회적 명령에 대한 반항의 기록 .",a note of defiance over social dictates,사회적 명령에 대한 반항의 기록,1
406,the attention process tends to do a little fleeing of its own .,주의 과정 tends to do a little fleeing of its own .,the attention process,주의 과정,0
407,as awful as some of the recent hollywood trip tripe,as awful as 최근 할리우드 여행 중 일부,some of the recent hollywood trip tripe,최근 할리우드 여행 중 일부,0
408,in a bid to hold our attention,in 우리의 관심을 끌기 위한 입찰,a bid to hold our attention,우리의 관심을 끌기 위한 입찰,0
409,loneliness and desperate grandiosity,loneliness and 절박한 웅장함,desperate grandiosity,절박한 웅장함,0
410,"it would be churlish to begrudge anyone for receiving whatever consolation that can be found in dragonfly , yet it is impossible to find the film anything but appalling , shamelessly manipulative and contrived , and totally lacking in conviction","it would be churlish to begrudge anyone for receiving whatever consolation that can be found in dragonfly , yet it is impossible to find 영화 anything but appalling , shamelessly manipulative and contrived , and totally lacking in conviction",the film,영화,0
411,tailor - made for those who when they were in high school would choose the cliff - notes over reading a full - length classic,맞춤형 - 고등학생 때 만든 would choose the cliff - notes over reading a full - length classic,tailor - made for those who when they were in high school,맞춤형 - 고등학생 때 만든,0
412,"one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject - - a teenage boy in love with his stepmother",one of 끔찍하고 소름 끼치는 주제에 대해 만들어진 가장 매력적인 영화 - 그의 계모와 사랑에 빠진 십대 소년,"the most appealing movies ever made about an otherwise appalling , and downright creepy , subject - - a teenage boy in love with his stepmother",끔찍하고 소름 끼치는 주제에 대해 만들어진 가장 매력적인 영화 - 그의 계모와 사랑에 빠진 십대 소년,1
413,"originality ai n ' t on the menu , but there ' s never a dull moment in the giant spider invasion comic chiller","originality ai n ' t on the menu , but there ' s never 거대한 거미 침략 만화 칠러의 지루한 순간",a dull moment in the giant spider invasion comic chiller,거대한 거미 침략 만화 칠러의 지루한 순간,1
414,that can calm us of our daily ills and bring out joys in our lives that we never knew,that can calm us of 우리의 일상적인 병 and bring out joys in our lives that we never knew,our daily ills,우리의 일상적인 병,1
415,becomes a testament to faith,becomes 믿음의 증거,a testament to faith,믿음의 증거,1
416,can obscure this movie ' s lack of ideas .,can obscure 이 영화의 아이디어 부족 .,this movie ' s lack of ideas,이 영화의 아이디어 부족,0
417,an even less capable trio of criminals,능력이 훨씬 떨어지는 트리오 of criminals,an even less capable trio,능력이 훨씬 떨어지는 트리오,0
418,"the movie is hardly a masterpiece , but it does mark ms . bullock ' s best work in some time","영화 is hardly a masterpiece , but it does mark ms . bullock ' s best work in some time",the movie,영화,1
419,seems like something american and european gay movies were doing 20 years ago .,seems like 20년 전 미국과 유럽의 게이 영화가 하고 있던 일 .,something american and european gay movies were doing 20 years ago,20년 전 미국과 유럽의 게이 영화가 하고 있던 일,0
420,of that special fishy community,of 그 특별한 수상 커뮤니티,that special fishy community,그 특별한 수상 커뮤니티,1
421,most of jaglom ' s self - conscious and gratingly irritating films,most of 자글롬의 셀프 - conscious and gratingly irritating films,jaglom ' s self,자글롬의 셀프,0
422,like a bad soap opera,like 나쁜 연속극,a bad soap opera,나쁜 연속극,0
423,"more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find morrison ' s iconoclastic uses of technology to be liberating .",more attuned to '파괴하려는 충동은 또한 창조적인 충동이다' 또는 더 기꺼이 자신의 눈으로 보고자 하는 아나키스트 격언은 모리슨의 인습타파적 기술 사용이 해방이 될 것임을 알게 될 것입니다 .,"the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find morrison ' s iconoclastic uses of technology to be liberating",'파괴하려는 충동은 또한 창조적인 충동이다' 또는 더 기꺼이 자신의 눈으로 보고자 하는 아나키스트 격언은 모리슨의 인습타파적 기술 사용이 해방이 될 것임을 알게 될 것입니다,1
424,"as i settled into my world war ii memories , i found myself strangely moved by even the corniest and most hackneyed contrivances .","as i settled into 나의 2차 세계대전의 기억 , i found myself strangely moved by even the corniest and most hackneyed contrivances .",my world war ii memories,나의 2차 세계대전의 기억,1
425,the variety of tones in spielberg ' s work,다양성 of tones in spielberg ' s work,the variety,다양성,1
426,"plodding , poorly written , murky and weakly acted , the picture feels as if everyone making it lost their movie mojo .","plodding , poorly written , murky and weakly acted , 사진 feels as if everyone making it lost their movie mojo .",the picture,사진,0
427,"the picture is constructed around a core of flimsy - - or , worse yet , nonexistent - - ideas","사진 is constructed around a core of flimsy - - or , worse yet , nonexistent - - ideas",the picture,사진,0
428,cause massive cardiac arrest,cause 대규모 심정지,massive cardiac arrest,대규모 심정지,0
429,bespeaks an expiration date passed a long time ago,bespeaks 유통기한이 오래 지난,an expiration date passed a long time ago,유통기한이 오래 지난,0
430,"newcastle , the first half of gangster no . 1 drips with style","newcastle , 갱스터의 전반부 no 스타일이 있는 드립 1개",the first half of gangster no . 1 drips with style,갱스터의 전반부 no 스타일이 있는 드립 1개,1
431,lagging near the finish line,lagging near 결승선,the finish line,결승선,0
432,"alternating between facetious comic parody and pulp melodrama , this smart - aleck movie . . . tosses around some intriguing questions about the difference between human and android life","alternating between facetious comic parody and pulp melodrama , 이 똑똑한 - aleck movie . . . tosses around some intriguing questions about the difference between human and android life",this smart,이 똑똑한,1
433,shaped the story to show us why it ' s compelling,shaped 이야기 to show us why it ' s compelling,the story,이야기,1
434,are powerful and moving without stooping to base melodrama,are powerful and moving without stooping to 베이스 멜로드라마,base melodrama,베이스 멜로드라마,1
435,ends or just ca n ' t tear himself away from the characters,ends or just ca n ' t tear himself away from 캐릭터,the characters,캐릭터,1
436,"( danny huston gives ) an astounding performance that deftly , gradually reveals a real human soul buried beneath a spellbinding serpent ' s smirk .","( 대니 휴스턴 gives ) an astounding performance that deftly , gradually reveals a real human soul buried beneath a spellbinding serpent ' s smirk .",danny huston,대니 휴스턴,1
437,"there may have been a good film in ` ` trouble every day , ' ' but it is not what is on the screen .","there may have been 좋은 영화 in ` ` trouble every day , ' ' but it is not what is on the screen .",a good film,좋은 영화,0
438,"i ' m not sure which half of dragonfly is worse : the part where nothing ' s happening , or the part where something ' s happening , but it ' s stupid .","i ' m not sure which half of dragonfly is worse : 아무 일도 일어나지 않는 부분, 또는 무슨 일이 벌어지고 있지만 바보 같은 부분 .","the part where nothing ' s happening , or the part where something ' s happening , but it ' s stupid","아무 일도 일어나지 않는 부분, 또는 무슨 일이 벌어지고 있지만 바보 같은 부분",0
439,"this movie may not have the highest production values you ' ve ever seen , but it ' s the work of an artist , one whose view of america , history and the awkwardness of human life is generous and deep","이 영화 may not have the highest production values you ' ve ever seen , but it ' s the work of an artist , one whose view of america , history and the awkwardness of human life is generous and deep",this movie,이 영화,1
440,that makes it possible for the viewer to doze off for a few minutes or make several runs to the concession stand and / or restroom and not feel as if he or she has missed anything,that makes it possible for 시청자 to doze off for a few minutes or make several runs to the concession stand and / or restroom and not feel as if he or she has missed anything,the viewer,시청자,0
441,is sickly entertainment at best and mind - destroying cinematic pollution at worst,is 병약한 오락 at best and mind - destroying cinematic pollution at worst,sickly entertainment,병약한 오락,0
442,"the most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87 - minute take .","올해의 가장 절망적으로 단조로운 영화 , noteworthy only for the gimmick of being filmed as a single unbroken 87 - minute take .",the most hopelessly monotonous film of the year,올해의 가장 절망적으로 단조로운 영화,0
443,exactly how genteel and unsurprising the execution turns out to be,exactly how genteel and unsurprising 처형 turns out to be,the execution,처형,0
444,"like many western action films , this thriller is too loud and thoroughly overbearing , but its heartfelt concern about north korea ' s recent past and south korea ' s future adds a much needed moral weight","like many western action films , 이 스릴러 is too loud and thoroughly overbearing , but its heartfelt concern about north korea ' s recent past and south korea ' s future adds a much needed moral weight",this thriller,이 스릴러,0
445,can take credit for most of the movie ' s success .,can take credit for 영화의 성공의 대부분 .,most of the movie ' s success,영화의 성공의 대부분,1
446,"in addition to the overcooked , ham - fisted direction , which has all the actors reaching for the back row",in 모든 배우들이 뒷줄로 손을 뻗는 지나치게 익힌 햄피스트 연출에 더해,"addition to the overcooked , ham - fisted direction , which has all the actors reaching for the back row",모든 배우들이 뒷줄로 손을 뻗는 지나치게 익힌 햄피스트 연출에 더해,0
447,cho ' s latest comic set is n ' t as sharp or as fresh as i ' m the one that i want . . .,조의 최신 만화 세트 is n ' t as sharp or as fresh as i ' m the one that i want . . .,cho ' s latest comic set,조의 최신 만화 세트,0
448,", it suffers from the awkwardness that results from adhering to the messiness of true stories .",", it suffers from 실화의 어지러움에 집착하는 데서 오는 어색함 .",the awkwardness that results from adhering to the messiness of true stories,실화의 어지러움에 집착하는 데서 오는 어색함,0
449,to accommodate to fit in and gain the unconditional love she seeks,to accommodate to fit in and gain 그녀가 추구하는 무조건적인 사랑,the unconditional love she seeks,그녀가 추구하는 무조건적인 사랑,1
450,it ' s dark but has wonderfully funny moments,it ' s dark but has 놀랍도록 재미있는 순간들,wonderfully funny moments,놀랍도록 재미있는 순간들,1
451,"though in some ways similar to catherine breillat ' s fat girl , rain is the far superior film .","though in some ways similar to catherine breillat ' s fat girl , rain is 훨씬 뛰어난 영화 .",the far superior film,훨씬 뛰어난 영화,1
452,"short - story quaint , touchingly mending a child ' s pain for his dead mother via communication with an old woman straight out of eudora welty","short - 기이한 이야기 , touchingly mending a child ' s pain for his dead mother via communication with an old woman straight out of eudora welty",story quaint,기이한 이야기,1
453,of the most purely enjoyable and satisfying evenings at the movies i ' ve had in a while,of 가장 순전히 즐겁고 만족스러운 저녁 at the movies i ' ve had in a while,the most purely enjoyable and satisfying evenings,가장 순전히 즐겁고 만족스러운 저녁,1
454,an engrossing story about a horrifying historical event and,마음을 사로잡는 이야기 about a horrifying historical event and,an engrossing story,마음을 사로잡는 이야기,1
455,makes two hours feel like four,makes 두 시간 feel like four,two hours,두 시간,0
456,say for plenty of movies,say for 많은 영화,plenty of movies,많은 영화,1
457,"the aaa of action , xxx is a blast of adrenalin , rated eee for excitement .","행동의 aaa , xxx is a blast of adrenalin , rated eee for excitement .",the aaa of action,행동의 aaa,1
458,seagal is painfully foolish in trying to hold onto what ' s left of his passe ' chopsocky glory .,seagal is painfully foolish in trying to hold onto what ' s left of 그의 통행 'chosocky 영광 .,his passe ' chopsocky glory,그의 통행 'chosocky 영광,0
459,"4 ever has the same sledgehammer appeal as pokemon videos , but","4 ever has 포켓몬 비디오와 같은 큰 망치 매력 , but",the same sledgehammer appeal as pokemon videos,포켓몬 비디오와 같은 큰 망치 매력,1
460,halle berry does her best to keep up with him,할리 베리 does her best to keep up with him,halle berry,할리 베리,1
461,does an impressive job of relating the complicated history of the war and,does 인상적인 직업 of relating the complicated history of the war and,an impressive job,인상적인 직업,1
462,is the best ` old neighborhood ' project since christopher walken kinda romanced cyndi lauper in the opportunists,is Christopher Walken 이후 최고의 'Old Neighborhood' 프로젝트,the best ` old neighborhood ' project since christopher walken kinda romanced cyndi lauper in the opportunists,Christopher Walken 이후 최고의 'Old Neighborhood' 프로젝트,1
463,has all the sibling rivalry and general family chaos to which anyone can relate,has 누구나 공감할 수 있는 모든 형제간 경쟁과 일반적인 가족 혼란,all the sibling rivalry and general family chaos to which anyone can relate,누구나 공감할 수 있는 모든 형제간 경쟁과 일반적인 가족 혼란,1
464,is fontaine ' s willingness to wander into the dark areas of parent - child relationships without flinching .,is 움찔하지 않고 부모-자식 관계의 어두운 영역으로 방황하려는 폰테인의 의지 .,fontaine ' s willingness to wander into the dark areas of parent - child relationships without flinching,움찔하지 않고 부모-자식 관계의 어두운 영역으로 방황하려는 폰테인의 의지,1
465,necessary viewing for sci - fi fans,필요한 시청 for sci - fi fans,necessary viewing,필요한 시청,1
466,"much of the lady and the duke is about quiet , decisive moments between members of the cultural elite as they determine how to proceed as the world implodes .","많은 숙녀와 공작 is about quiet , decisive moments between members of the cultural elite as they determine how to proceed as the world implodes .",much of the lady and the duke,많은 숙녀와 공작,1
467,"may have made a great saturday night live sketch , but a great movie it is not","may have made 멋진 토요일 밤 라이브 스케치 , but a great movie it is not",a great saturday night live sketch,멋진 토요일 밤 라이브 스케치,0
468,is an in - your - face family drama and black comedy that is filled with raw emotions conveying despair and love,is 절망과 사랑을 전하는 날것의 감정으로 가득 찬 마주한 가족 드라마와 블랙 코미디,an in - your - face family drama and black comedy that is filled with raw emotions conveying despair and love,절망과 사랑을 전하는 날것의 감정으로 가득 찬 마주한 가족 드라마와 블랙 코미디,1
469,translate well to the screen,translate well to 화면,the screen,화면,1
470,our culture is headed down the toilet with the ferocity of a frozen burrito after an all - night tequila bender - - and i know this because i ' ve seen ` jackass : the movie . ',우리 문화 is headed down the toilet with the ferocity of a frozen burrito after an all - night tequila bender - - and i know this because i ' ve seen ` jackass : the movie . ',our culture,우리 문화,0
471,low - tech magic realism,low - 기술 매직 리얼리즘,tech magic realism,기술 매직 리얼리즘,0
472,become almost as operatic to us as they are to her characters,become almost as operatic to us as they are to 그녀의 캐릭터,her characters,그녀의 캐릭터,0
473,a well - intentioned effort that ' s still too burdened by the actor,a well - 의도된 노력 that ' s still too burdened by the actor,intentioned effort,의도된 노력,1
474,a wind - tunnel and a simply astounding cor - blimey - luv - a - duck cockney accent,a wind - tunnel and a simply astounding cor - blimey - luv - a - 오리 코크니 악센트,a - duck cockney accent,a - 오리 코크니 악센트,1
475,` ` extreme ops ' ' exceeds expectations .,` ` 익스트림 옵스 ' ' exceeds expectations .,` ` extreme ops ' ',` ` 익스트림 옵스 ' ',1
476,it ' s not just the vampires that are damned in queen of the damned,it ' s not just 뱀파이어 that are damned in queen of the damned,the vampires,뱀파이어,0
477,"on tediously about their lives , loves and the art","on tediously about 그들의 삶, 사랑 그리고 예술","their lives , loves and the art","그들의 삶, 사랑 그리고 예술",0
478,the cast is spot on and the mood is laid back,캐스트 is spot on and the mood is laid back,the cast,캐스트,1
479,as far as mainstream matinee - style entertainment goes,as far as 주류 마티네 - 스타일 엔터테인먼트 goes,mainstream matinee - style entertainment,주류 마티네 - 스타일 엔터테인먼트,0
480,"perhaps it ' s cliche to call the film ` refreshing , '","perhaps it ' s cliche to call 영화 ` refreshing , '",the film,영화,1
481,finds warmth in the coldest environment and,finds warmth in 가장 추운 환경 and,the coldest environment,가장 추운 환경,1
482,"to seek our tears , our sympathies","to seek our tears , 우리의 동정",our sympathies,우리의 동정,1
483,it could have been a hoot in a bad - movie way if the laborious pacing and endless exposition had been tightened,it could have been a hoot in 나쁜 - 영화 방식 if the laborious pacing and endless exposition had been tightened,a bad - movie way,나쁜 - 영화 방식,0
484,win a wide summer audience through word - of - mouth reviews,win 광범위한 여름 청중 through word - of - mouth reviews,a wide summer audience,광범위한 여름 청중,1
485,"in showing us well - thought stunts or a car chase that we have n ' t seen 10 , 000 times","in showing us well - 우리가 10,000번 본 적이 없는 스턴트나 자동차 추격전을 생각했습니다","thought stunts or a car chase that we have n ' t seen 10 , 000 times","우리가 10,000번 본 적이 없는 스턴트나 자동차 추격전을 생각했습니다",1
486,is just a corny examination of a young actress trying to find her way,is 그녀의 길을 찾으려는 젊은 여배우에 대한 진부한 조사,just a corny examination of a young actress trying to find her way,그녀의 길을 찾으려는 젊은 여배우에 대한 진부한 조사,0
487,"michael moore ' s bowling for columbine rekindles the muckraking , soul - searching spirit of the ` are we a sick society ? '","콜럼바인을 위한 마이클 무어의 볼링 rekindles the muckraking , soul - searching spirit of the ` are we a sick society ? '",michael moore ' s bowling for columbine,콜럼바인을 위한 마이클 무어의 볼링,1
488,it ' s a rock - solid little genre picture,it ' s a rock - 단단한 작은 장르 그림,solid little genre picture,단단한 작은 장르 그림,1
