,sentence1,cross1,source1_np0,target1_np0,sentence2,cross2,source2_np0,target2_np0,label
259,"FROM two tiny rooms high up and far back in St . Augustine ' s Episcopal Church , with its neo - Georgian archways , straight - backed pews and simple , graceful detail , the legacy of slavery in Manhattan looks down . The stone church , on Henry Street near Montgomery Street on the Lower East Side , was built for a patrician white congregation . But although it was completed in 1828 , a year after slavery was legally abolished in New York State , behind the balcony and on either side of the organ are two cramped rooms , built so that black churchgoers could worship there without being seen by white parishioners .","FROM two tiny rooms high up and far back in St . Augustine ' s Episcopal Church , with its neo - Georgian archways , straight - backed pews and simple , graceful detail , 맨해튼 노예 제도의 유산 looks down . The stone church , on Henry Street near Montgomery Street on the Lower East Side , was built for a patrician white congregation . But although it was completed in 1828 , a year after slavery was legally abolished in New York State , behind the balcony and on either side of the organ are two cramped rooms , built so that black churchgoers could worship there without being seen by white parishioners .",the legacy of slavery in Manhattan,맨해튼 노예 제도의 유산,St . Augustine ' s Episcopal Church is in Manhattan .,성  어거스틴 성공회 교회 is in Manhattan .,St . Augustine ' s Episcopal Church,성  어거스틴 성공회 교회,0
260,"The American House of Representatives is due to vote today , on a resolution submitted by the Chairman of the Judicial Committee , Henry Hyde , asking Congress to launch an investigation over charges brought forward by Independent Prosecutor - General Kenneth Star against President Clinton in the Monica Lewinsky affair .","미국 하원 is due to vote today , on a resolution submitted by the Chairman of the Judicial Committee , Henry Hyde , asking Congress to launch an investigation over charges brought forward by Independent Prosecutor - General Kenneth Star against President Clinton in the Monica Lewinsky affair .",The American House of Representatives,미국 하원,"Voting will take place in the American House of Representatives today , on the President Clinton - Monica Lewinsky scandal .","Voting will take place in 미국 하원 today , on the President Clinton - Monica Lewinsky scandal .",the American House of Representatives,미국 하원,0
261,"British newsreader Natasha Kaplinsky gave birth to a baby boy earlier this morning at around 08 : 30 BST . She had been on maternity leave since August 21 . Kaplinsky had only been working with Five News just over a month when she announced she was pregnant . Her husband of three years , investment banker Justin Bower announced "" We ' re absolutely thrilled . "" Kaplinsky first started to work for the BBC in 2002 after a two year tenure with Sky News . She started on the BBC Breakfast show but later moved onto the BBC Six O ' Clock News and later became only the third woman to present the BBC Ten O ' Clock News . She left the BBC in October 2007 . She also spent a short time with ITV News . Five News released a statement saying "" Her colleagues here at Five News are delighted too - and we ' ve sent our best wishes . "" They also said both Kaplinsky and the baby are doing fine .","영국 뉴스 리더 나타샤 카플린스키 gave birth to a baby boy earlier this morning at around 08 : 30 BST . She had been on maternity leave since August 21 . Kaplinsky had only been working with Five News just over a month when she announced she was pregnant . Her husband of three years , investment banker Justin Bower announced "" We ' re absolutely thrilled . "" Kaplinsky first started to work for the BBC in 2002 after a two year tenure with Sky News . She started on the BBC Breakfast show but later moved onto the BBC Six O ' Clock News and later became only the third woman to present the BBC Ten O ' Clock News . She left the BBC in October 2007 . She also spent a short time with ITV News . Five News released a statement saying "" Her colleagues here at Five News are delighted too - and we ' ve sent our best wishes . "" They also said both Kaplinsky and the baby are doing fine .",British newsreader Natasha Kaplinsky,영국 뉴스 리더 나타샤 카플린스키,Natasha Kaplinsky and Justin Bower got married three years ago .,나타샤 카플린스키와 저스틴 바우어 got married three years ago .,Natasha Kaplinsky and Justin Bower,나타샤 카플린스키와 저스틴 바우어,0
262,The presidents of Ecuador and Peru say they have agreed to work together to try to find a peaceful solution to their long - running border dispute .,에콰도르와 페루의 대통령 say they have agreed to work together to try to find a peaceful solution to their long - running border dispute .,The presidents of Ecuador and Peru,에콰도르와 페루의 대통령,Peru debates border region with Ecuador .,Peru debates 국경 지역 with Ecuador .,border region,국경 지역,0
263,"Investigators described the gunman as white , about 30 years old , of medium build with shoulder - length , wavy blond hair and as having a "" scruffy "" or "" grunge "" appearance .","Investigators described 저격수 as white , about 30 years old , of medium build with shoulder - length , wavy blond hair and as having a "" scruffy "" or "" grunge "" appearance .",the gunman,저격수,"The gunman is described as a white male in his 30 s with a medium build , shoulder - length blonde hair and an unkempt appearance .","총잡이 is described as a white male in his 30 s with a medium build , shoulder - length blonde hair and an unkempt appearance .",The gunman,총잡이,0
264,"Nike Inc . said , Monday , that its first - quarter profit grew 32 percent , as the world ' s largest sneaker and athletic apparel company posted broad gains in sales and orders .","나이키 Inc said , Monday , that its first - quarter profit grew 32 percent , as the world ' s largest sneaker and athletic apparel company posted broad gains in sales and orders .",Nike Inc .,나이키 Inc,"Nike said that orders for delivery were up 11 percent from a year earlier , and it was optimistic about its growth prospects .","Nike said that 배달 주문 were up 11 percent from a year earlier , and it was optimistic about its growth prospects .",orders for delivery,배달 주문,1
265,"For a western European country , the birth rate in Finland is high .","For a western European country , 핀란드의 출생률 is high .",the birth rate in Finland,핀란드의 출생률,Finland is the European country with the highest birth rate .,Finland is 출산율이 가장 높은 유럽 국가 .,the European country with the highest birth rate,출산율이 가장 높은 유럽 국가,1
266,Intel has decided to push back the launch date for its 4 - GHz Pentium 4 desktop processor to the first quarter of 2005 .,Intel has decided to push back 4GHz Pentium 4 데스크탑 프로세서 출시일 to the first quarter of 2005 .,the launch date for its 4 - GHz Pentium 4 desktop processor,4GHz Pentium 4 데스크탑 프로세서 출시일,Intel would raise the clock speed of the company ' s flagship Pentium 4 processor to 4 GHz .,Intel would raise 회사의 플래그십 Pentium 4 프로세서의 클럭 속도 to 4 GHz .,the clock speed of the company ' s flagship Pentium 4 processor,회사의 플래그십 Pentium 4 프로세서의 클럭 속도,1
267,President Chirac has been advised that his resumption of nuclear testing would precipitate an international boycott of French products .,시라크 대통령 has been advised that his resumption of nuclear testing would precipitate an international boycott of French products .,President Chirac,시라크 대통령,International pressure is exerted to end French nuclear tests .,국제적 압력 is exerted to end French nuclear tests .,International pressure,국제적 압력,0
268,Two brothers who operated a North Hollywood plating company that dumped thousands of gallons of cyanide - laced waste water into the Los Angeles sewer system pleaded guilty Thursday and must serve jail time for recklessly handling and storing hazardous materials .,수천 갤런의 시안화물 폐수를 로스앤젤레스 하수 시스템에 버린 North Hollywood 도금 회사를 운영했던 두 형제 pleaded guilty Thursday and must serve jail time for recklessly handling and storing hazardous materials .,Two brothers who operated a North Hollywood plating company that dumped thousands of gallons of cyanide - laced waste water into the Los Angeles sewer system,수천 갤런의 시안화물 폐수를 로스앤젤레스 하수 시스템에 버린 North Hollywood 도금 회사를 운영했던 두 형제,A California company was charged with reckless storage of chemicals .,캘리포니아 회사 was charged with reckless storage of chemicals .,A California company,캘리포니아 회사,0
269,"Eleven years after 852 people , mostly Swedes , perished when the ferry Estonia sank on a stormy Baltic night , an exhibition in the National Maritime Museum in Stockholm brings back the pain and controversy which have haunted Sweden since the disaster .","Eleven years after 852 people , mostly Swedes , perished when the ferry Estonia sank on a stormy Baltic night , 스톡홀름 국립해양박물관 전시 brings back the pain and controversy which have haunted Sweden since the disaster .",an exhibition in the National Maritime Museum in Stockholm,스톡홀름 국립해양박물관 전시,100 or more people lost their lives in a ferry sinking .,100명 이상 lost their lives in a ferry sinking .,100 or more people,100명 이상,0
270,"Ahern , who was travelling to Tokyo for an EU - Japan summit yesterday , will consult with other EU leaders about the election of the EU commission president .",어제 EU-일본 정상회담을 위해 도쿄로 여행 중인 Ahern은 will consult with other EU leaders about the election of the EU commission president .,"Ahern , who was travelling to Tokyo for an EU - Japan summit yesterday ,",어제 EU-일본 정상회담을 위해 도쿄로 여행 중인 Ahern은,EU leaders take part in an EU - Japan summit .,EU 지도자 take part in an EU - Japan summit .,EU leaders,EU 지도자,1
271,Researchers at the Harvard School of Public Health say that people who drink coffee may be doing a lot more than keeping themselves awake - this kind of consumption apparently also can help reduce the risk of diseases .,하버드 공중 보건 대학의 연구원 say that people who drink coffee may be doing a lot more than keeping themselves awake - this kind of consumption apparently also can help reduce the risk of diseases .,Researchers at the Harvard School of Public Health,하버드 공중 보건 대학의 연구원,Coffee drinking has health benefits .,커피 마시기 has health benefits .,Coffee drinking,커피 마시기,0
272,"Canadian traffickers also are reported to drop their marijuana loads across the border in remote areas ( often without the knowledge of rural landowners ) , cross into the United States without drugs , later retrieve the marijuana , and continue on to U . S . distribution sites .","캐나다 인신매매범 also are reported to drop their marijuana loads across the border in remote areas ( often without the knowledge of rural landowners ) , cross into the United States without drugs , later retrieve the marijuana , and continue on to U . S . distribution sites .",Canadian traffickers,캐나다 인신매매범,Most of the marijuana entering the United States comes from Canada .,미국으로 들어오는 대부분의 마리화나 comes from Canada .,Most of the marijuana entering the United States,미국으로 들어오는 대부분의 마리화나,1
273,It is estimated that the disaster resulting from the deliberate crash of a Jumbo - Jet on a nuclear power station would be a multiple of the Chernobyl accident in the worst case by a factor of 60 .,It is estimated that 원자력 발전소에 점보 제트기의 고의적 충돌로 인한 재난 would be a multiple of the Chernobyl accident in the worst case by a factor of 60 .,the disaster resulting from the deliberate crash of a Jumbo - Jet on a nuclear power station,원자력 발전소에 점보 제트기의 고의적 충돌로 인한 재난,The Chernobyl disaster had repercussions outside the ex - USSR .,체르노빌 재해 had repercussions outside the ex - USSR .,The Chernobyl disaster,체르노빌 재해,1
274,"At the same time the Italian digital rights group , Electronic Frontiers Italy , has asked the nation ' s government to investigate Sony over its use of anti - piracy software .",At the same time 이탈리아 디지털 권한 그룹인 Electronic Frontiers Italy는 has asked the nation ' s government to investigate Sony over its use of anti - piracy software .,"the Italian digital rights group , Electronic Frontiers Italy ,",이탈리아 디지털 권한 그룹인 Electronic Frontiers Italy는,Italy ' s government investigates Sony .,이탈리아 정부 investigates Sony .,Italy ' s government,이탈리아 정부,1
275,"The current Prime Minister Stephen Harper supported Mulroney ' s right to comment on Trudeau , "" I think it ' s well known Mr . Mulroney was an opponent of Mr . Trudeau , "" Harper said . "" He was his opposition leader and , as you know , came to power at the end of the Trudeau period when people wanted to make a change . I ' ll leave it to people who were there then to fight those battles . I think it ' s perfectly reasonable that they would comment . I think these are debates that are best left to some of the people who were around then and academics . "" Trudeau ' s former piers and friends have rallied behind his legacy and made public comments to dampen Mulroney ' s accusations .","The current Prime Minister Stephen Harper supported Mulroney ' s right to comment on Trudeau , "" I think it ' s well known Mr . Mulroney was 상대방 of Mr . Trudeau , "" Harper said . "" He was his opposition leader and , as you know , came to power at the end of the Trudeau period when people wanted to make a change . I ' ll leave it to people who were there then to fight those battles . I think it ' s perfectly reasonable that they would comment . I think these are debates that are best left to some of the people who were around then and academics . "" Trudeau ' s former piers and friends have rallied behind his legacy and made public comments to dampen Mulroney ' s accusations .",an opponent,상대방,Mr Mulroney was an ally of Mr Trudeau .,멀로니 씨 was an ally of Mr Trudeau .,Mr Mulroney,멀로니 씨,1
276,The most surprising news story of the past week must be the ' wonderful ' story that the AIDS epidemic in India is under control .,지난 주 가장 놀라운 뉴스 기사 must be the ' wonderful ' story that the AIDS epidemic in India is under control .,The most surprising news story of the past week,지난 주 가장 놀라운 뉴스 기사,Polio is under control in the world .,Polio is under control in 세계 .,the world,세계,1
277,"Over the years , 26 gorillas have been born at the Bronx Zoo , whose parent organization , the Wildlife Conservation Society , runs one of the most successful gorilla breeding programs in the country . The society , which also operates wildlife centers in Manhattan , Queens and Brooklyn , trades gorillas periodically with 51 participating North American zoos . Its first objective is to increase the genetic diversity of an endangered species , but a second , related goal is to create happier gorillas by finding mates and establishing compatible groups . "" These are very intelligent , sensitive animals , "" said James Doherty , curator of the Bronx Zoo . The zoo ' s current population of gorillas numbers 19 . Only the Lincoln Park Zoo in Chicago has more , with 22 . Interactive Habitat .","Over the years , 26 gorillas have been born at the Bronx Zoo , whose parent organization , the Wildlife Conservation Society , runs one of the most successful gorilla breeding programs in the country . The society , which also operates wildlife centers in Manhattan , Queens and Brooklyn , trades gorillas periodically with 51 participating North American zoos . Its first objective is to increase the genetic diversity of an endangered species , but a second , related goal is to create happier gorillas by finding mates and establishing compatible groups . "" These are 매우 지능적이고 민감한 동물입니다”라고 James Doherty는 말했습니다 , curator of the Bronx Zoo . The zoo ' s current population of gorillas numbers 19 . Only the Lincoln Park Zoo in Chicago has more , with 22 . Interactive Habitat .","very intelligent , sensitive animals , "" said James Doherty",매우 지능적이고 민감한 동물입니다”라고 James Doherty는 말했습니다,The Bronx Zoo has 19 gorillas .,브롱크스 동물원 has 19 gorillas .,The Bronx Zoo,브롱크스 동물원,0
278,"NPF said that young people displaying onset symptoms of Parkinson ' s disease have special needs , because they often have children to raise , jobs to keep and other issues to address that are different than those patients in retirement years .","NPF said that 파킨슨병의 발병 증상을 보이는 젊은 사람들 have special needs , because they often have children to raise , jobs to keep and other issues to address that are different than those patients in retirement years .",young people displaying onset symptoms of Parkinson ' s disease,파킨슨병의 발병 증상을 보이는 젊은 사람들,"The symptoms of Parkinson ' s disease are : tremor , rigidity ( stiffness ; increased muscle tone ) , bradykinesia / akinesia , also "" dysdiadokinesia "" , and postural instability .","파킨슨병의 증상 are : tremor , rigidity ( stiffness ; increased muscle tone ) , bradykinesia / akinesia , also "" dysdiadokinesia "" , and postural instability .",The symptoms of Parkinson ' s disease,파킨슨병의 증상,1
279,"The Rock and Roll Hall Of Fame and Museum opened the nation ' s first major John Lennon retrospective Thursday ( October 19 ) with a gala party attended by his widow , Yoko Ono .","로큰롤 명예의 전당 및 박물관 opened the nation ' s first major John Lennon retrospective Thursday ( October 19 ) with a gala party attended by his widow , Yoko Ono .",The Rock and Roll Hall Of Fame and Museum,로큰롤 명예의 전당 및 박물관,Yoko Ono is John Lennon ' s widow .,요코 오노 is John Lennon ' s widow .,Yoko Ono,요코 오노,0
280,"In the very same room in fall , 1992 , George Bush prepped to debate Clinton and Ross Perot in practice sessions with Chief of Staff John H . Sununu .","In the very same room in fall , 1992 , 조지 부시 prepped to debate Clinton and Ross Perot in practice sessions with Chief of Staff John H . Sununu .",George Bush,조지 부시,Ross Perot ran for president in 1992 .,로스 페로 ran for president in 1992 .,Ross Perot,로스 페로,1
281,"On November 25 , 2001 , a baby Asian elephant was born at the National Zoo in Washington , DC .","On November 25 , 2001 , 아기 아시아 코끼리 was born at the National Zoo in Washington , DC .",a baby Asian elephant,아기 아시아 코끼리,baby elephant born,아기 코끼리 born,baby elephant,아기 코끼리,0
282,"They named themselves for Saint Joan of Arc . The brigade began with 17 women , but soon grew to 135 members . Its mission was to obtain money , weapons , provisions , and information for the combatant men . Many smuggled weapons into the combat zones by carrying them in carts filled with grain or cement .","They named themselves for Saint Joan of Arc . 여단 began with 17 women , but soon grew to 135 members . Its mission was to obtain money , weapons , provisions , and information for the combatant men . Many smuggled weapons into the combat zones by carrying them in carts filled with grain or cement .",The brigade,여단,Saint Joan of Arc ' s brigade got weapons for combatants .,성 잔 다르크 여단 got weapons for combatants .,Saint Joan of Arc ' s brigade,성 잔 다르크 여단,0
283,""" Having for years enjoyed greater rights than other women in the Middle East , women in Iraq are now losing even their basic freedoms . The right to choose their clothes , the right to love or marry whom they want . Of course women suffered under Saddam . I fled his cruel regime . I personally witnessed much brutality , but the subjugation of women was never a goal of the Baath party . """,""" Having for years enjoyed greater rights than other women in the Middle East , 이라크의 여성들 are now losing even their basic freedoms . The right to choose their clothes , the right to love or marry whom they want . Of course women suffered under Saddam . I fled his cruel regime . I personally witnessed much brutality , but the subjugation of women was never a goal of the Baath party . """,women in Iraq,이라크의 여성들,Women in Iraq have lost their freedom .,이라크 여성 have lost their freedom .,Women in Iraq,이라크 여성,0
284,"Despite Bjork making her first live performance in two years , the crowd of 10 , 000 people was only half of what the hall in the Tokyo suburb of Makuhari could hold .","Despite Bjork making her first live performance in two years , 10,000명의 군중 was only half of what the hall in the Tokyo suburb of Makuhari could hold .","the crowd of 10 , 000 people","10,000명의 군중","10 , 000 people live in Tokyo .","10,000명 live in Tokyo .","10 , 000 people","10,000명",1
285,"Besides producing this riverine sea , the deluge also nourishes the largest stretch of rain forest left on Earth . One - third of the remaining rain forest was in the Amazon basin and fires had consumed about 10 % of it , an area twice the size of California .","Besides producing this riverine sea , 대홍수 also nourishes the largest stretch of rain forest left on Earth . One - third of the remaining rain forest was in the Amazon basin and fires had consumed about 10 % of it , an area twice the size of California .",the deluge,대홍수,The Amazon rain forest is a vast area in South America .,아마존 열대우림 is a vast area in South America .,The Amazon rain forest,아마존 열대우림,1
286,"ISSUE 172 , March 5 , 2009 : The world has lost Manx in the Isle of Man , Ubykh in Turkey and last year Alaska ' s last native speaker of Eyak , Marie Smith Jones , died , taking the Aboriginal language with her . Of the 6 , 900 languages spoken in the world , some 2 , 500 are endangered , the UN ' s cultural agency UNESCO said this week as it released its latest atlas of world languages . That represents a multi - fold increase from the last atlas compiled in 2001 which listed 900 languages threatened with extinction . But experts say this is more the result of better research tools than of an increasingly dire situation for the world ' s many tongues .","제172호, 2009년 3월 5일 : The world has lost Manx in the Isle of Man , Ubykh in Turkey and last year Alaska ' s last native speaker of Eyak , Marie Smith Jones , died , taking the Aboriginal language with her . Of the 6 , 900 languages spoken in the world , some 2 , 500 are endangered , the UN ' s cultural agency UNESCO said this week as it released its latest atlas of world languages . That represents a multi - fold increase from the last atlas compiled in 2001 which listed 900 languages threatened with extinction . But experts say this is more the result of better research tools than of an increasingly dire situation for the world ' s many tongues .","ISSUE 172 , March 5 , 2009","제172호, 2009년 3월 5일","2 , 500 languages are in danger of extinction .","2 , 500 languages are in 멸종 위기 .",danger of extinction,멸종 위기,0
287,"In August , Gates ' foundation gave Yunus ' Grameen Foundation 1 . 5 million for a program to extend its microfinance programs to 5 million more of the world ' s poorest families . Three years ago , tech entrepreneur Craig McCaw provided 2 million to start up the Grameen Technology Center , which is using microcredit to finance cheap mobile service for people in Uganda and Rwanda .","In August , 게이츠 재단 gave Yunus ' Grameen Foundation 1 . 5 million for a program to extend its microfinance programs to 5 million more of the world ' s poorest families . Three years ago , tech entrepreneur Craig McCaw provided 2 million to start up the Grameen Technology Center , which is using microcredit to finance cheap mobile service for people in Uganda and Rwanda .",Gates ' foundation,게이츠 재단,Gates ' foundation extends its microfinance programs to 5 million more of the world ' s poorest families .,게이츠 재단 extends its microfinance programs to 5 million more of the world ' s poorest families .,Gates ' foundation,게이츠 재단,1
288,"Prosecutors were still expected to unseal an 11 - count manslaughter indictment against the ferry ' s captain , Michael Gansas .",Prosecutors were still expected to unseal 페리의 선장인 Michael Gansas에 대한 11건의 과실치사 기소 .,"an 11 - count manslaughter indictment against the ferry ' s captain , Michael Gansas",페리의 선장인 Michael Gansas에 대한 11건의 과실치사 기소,Gansas ' attorneys have said that rule was not communicated to ferry staff .,간사스 변호사 have said that rule was not communicated to ferry staff .,Gansas ' attorneys,간사스 변호사,1
289,"In naming Guillermo Ortiz to be Mexico ' s finance minister , President Ernesto Zedillo appointed a friend , former colleague and , like himself , a U . S . - trained economist .","In naming Guillermo Ortiz to be Mexico ' s finance minister , 에르네스토 세디요 대통령 appointed a friend , former colleague and , like himself , a U . S . - trained economist .",President Ernesto Zedillo,에르네스토 세디요 대통령,Guillermo Ortiz was born in Mexico .,기예르모 오티즈 was born in Mexico .,Guillermo Ortiz,기예르모 오티즈,1
290,Weinstock painstakingly reviewed dozens of studies for evidence of any link between sunscreen use and either an increase or decrease in melanoma .,Weinstock painstakingly reviewed 자외선 차단제 사용과 흑색종의 증가 또는 감소 사이의 연관성에 대한 증거에 대한 수십 건의 연구 .,dozens of studies for evidence of any link between sunscreen use and either an increase or decrease in melanoma,자외선 차단제 사용과 흑색종의 증가 또는 감소 사이의 연관성에 대한 증거에 대한 수십 건의 연구,skin cancer numbers increase .,피부암 번호 increase .,skin cancer numbers,피부암 번호,1
291,"After giving nearly 5 , 000 people a second chance at life , doctors are celebrating the 25 th anniversary of Britian ' s first heart transplant which was performed at Cambridgeshire ' s Papworth Hospital in 1979 .","After giving nearly 5 , 000 people a second chance at life , doctors are celebrating 1979년 케임브리지셔의 파프워스 병원에서 시행된 영국 최초의 심장 이식 수술 25주년 .",the 25 th anniversary of Britian ' s first heart transplant which was performed at Cambridgeshire ' s Papworth Hospital in 1979,1979년 케임브리지셔의 파프워스 병원에서 시행된 영국 최초의 심장 이식 수술 25주년,The first heart transplant in Britian was performed in 1979 .,영국 최초의 심장 이식 was performed in 1979 .,The first heart transplant in Britian,영국 최초의 심장 이식,0
292,"Texas Data Recovery is also successful at retrieving lost data from notebooks and laptops , regardless of age , make or model .","텍사스 데이터 복구 is also successful at retrieving lost data from notebooks and laptops , regardless of age , make or model .",Texas Data Recovery,텍사스 데이터 복구,In the event of a disaster you could use Texas Data Recovery and you will have the capability to restore lost data .,In 재난의 사건 you could use Texas Data Recovery and you will have the capability to restore lost data .,the event of a disaster,재난의 사건,0
293,"Aboard Air Force One , Nov . 22 , 2006 President Bush and Iraqi Prime Minister Nouri al - Maliki will meet next week in Jordan to discuss the deteriorating security situation in Iraq .","Aboard Air Force One , Nov . 22 , 2006 부시 대통령 and Iraqi Prime Minister Nouri al - Maliki will meet next week in Jordan to discuss the deteriorating security situation in Iraq .",President Bush,부시 대통령,Jordan will host the meeting between President Bush and Iraqi Prime Minister Nouri al - Maliki .,Jordan will host 부시 대통령과 누리 알-말리키 이라크 총리의 회담 .,the meeting between President Bush and Iraqi Prime Minister Nouri al - Maliki,부시 대통령과 누리 알-말리키 이라크 총리의 회담,0
294,"In November 2005 , the EU announced a partial suspension of the PCA with all subcommittees and the Cooperation Committee suspended indefinitely . An arms embargo has also put in place , whilst a year - long visa ban has been imposed upon 12 Uzbek officials believed to have played a part in the forcible suppression of the Andijan demonstrations .","In November 2005 , 미국 announced a partial suspension of the PCA with all subcommittees and the Cooperation Committee suspended indefinitely . An arms embargo has also put in place , whilst a year - long visa ban has been imposed upon 12 Uzbek officials believed to have played a part in the forcible suppression of the Andijan demonstrations .",the EU,미국,The EU partially refuses commission candidates .,미국 partially refuses commission candidates .,The EU,미국,1
295,"Both sides have a point . German spelling does need overhauling : over the decades , it has grown more unwieldy . But the reform , approved by German - speaking countries in 1996 , does not make the rules much easier , and in some cases the new way is harder .","양측 have a point . German spelling does need overhauling : over the decades , it has grown more unwieldy . But the reform , approved by German - speaking countries in 1996 , does not make the rules much easier , and in some cases the new way is harder .",Both sides,양측,A spelling reform was approved in all German speaking countries .,철자 개혁 was approved in all German speaking countries .,A spelling reform,철자 개혁,0
296,"Take consumer products giant Procter and Gamble . Even with a $ 1 . 8 billion Research and Development budget , it still manages 500 active partnerships each year , many of them with small companies .","Take 소비재 대기업 Procter and Gamble . Even with a $ 1 . 8 billion Research and Development budget , it still manages 500 active partnerships each year , many of them with small companies .",consumer products giant Procter and Gamble,소비재 대기업 Procter and Gamble,500 small companies are partners of Procter and Gamble .,중소기업 500개 are partners of Procter and Gamble .,500 small companies,중소기업 500개,1
297,"Christopher Reeve , an actor and director who became an inspiration worldwide after being paralyzed in a horse riding accident , died Sunday of heart failure .",승마 사고로 마비된 후 전 세계적으로 영감을 준 배우이자 감독인 크리스토퍼 리브(Christopher Reeve)는 died Sunday of heart failure .,"Christopher Reeve , an actor and director who became an inspiration worldwide after being paralyzed in a horse riding accident ,",승마 사고로 마비된 후 전 세계적으로 영감을 준 배우이자 감독인 크리스토퍼 리브(Christopher Reeve)는,Christopher Reeve had an accident .,크리스토퍼 리브 had an accident .,Christopher Reeve,크리스토퍼 리브,0
298,"Anna Nobili , 38 , spent years working as an exotic dancer and striptease artist at Milan night clubs but now she ' s a Catholic nun who describes herself a "" ballerina for God "" . The Daily Mail reports that Sr Anna Nobili , a lap dancer turned nun is to perform a religious dance in front of an audience of Catholic cardinals and bishops . She swapped string bikinis and high heels for a nun ' s habit after a visit to the shrine of St Francis in Assisi , a place of pilgrimage for millions of Catholics in Umbria , in 2002 .","안나 노빌리, 38, spent years working as an exotic dancer and striptease artist at Milan night clubs but now she ' s a Catholic nun who describes herself a "" ballerina for God "" . The Daily Mail reports that Sr Anna Nobili , a lap dancer turned nun is to perform a religious dance in front of an audience of Catholic cardinals and bishops . She swapped string bikinis and high heels for a nun ' s habit after a visit to the shrine of St Francis in Assisi , a place of pilgrimage for millions of Catholics in Umbria , in 2002 .","Anna Nobili , 38 ,","안나 노빌리, 38,",Anna Nobili is a nun .,안나 노블 is a nun .,Anna Nobili,안나 노블,0
299,"He is the professor of theater and drama at Loyola University and the director of Wilson ' s "" Two Trains Running , "" now onstage at Pegasus Players .","He is Loyola University의 연극 및 드라마 교수이자 Wilson의 ""Two Trains Running"" 감독, 현재 Pegasus Players 무대에 있음 .","the professor of theater and drama at Loyola University and the director of Wilson ' s "" Two Trains Running , "" now onstage at Pegasus Players","Loyola University의 연극 및 드라마 교수이자 Wilson의 ""Two Trains Running"" 감독, 현재 Pegasus Players 무대에 있음",""" Two Trains Running "" was written by Wilson .",""" 달리는 두 기차 "" was written by Wilson .",Two Trains Running,달리는 두 기차,0
300,"According to an Israeli official , the murders of Galan , a high - ranking police officer , and a judge last week were probably carried out by an Israeli mercenary paid by the Medellin cartel - the world ' s most powerful drug - trafficking mafia - which has set up paramilitary squads accused of hundreds of individual murders and massacres against political and labor leaders , as well as peasants and patriotic union leftist militants in different parts of the country .","According to an Israeli official , 지난 주 고위 경찰관인 갈란과 판사가 살해된 사건 were probably carried out by an Israeli mercenary paid by the Medellin cartel - the world ' s most powerful drug - trafficking mafia - which has set up paramilitary squads accused of hundreds of individual murders and massacres against political and labor leaders , as well as peasants and patriotic union leftist militants in different parts of the country .","the murders of Galan , a high - ranking police officer , and a judge last week",지난 주 고위 경찰관인 갈란과 판사가 살해된 사건,An Israeli official was killed by patriotic union leftist militants .,이스라엘 관리 was killed by patriotic union leftist militants .,An Israeli official,이스라엘 관리,1
301,"The human rights promotion and protection secretariat of the FMLN strongly condemns the massacre of five Spanish - born Jesuit priests , and three Salvadoran citizens , carried out by the Salvadoran Armed Forces Soldiers .","FMLN 인권증진 및 보호 사무국 strongly condemns the massacre of five Spanish - born Jesuit priests , and three Salvadoran citizens , carried out by the Salvadoran Armed Forces Soldiers .",The human rights promotion and protection secretariat of the FMLN,FMLN 인권증진 및 보호 사무국,The Salvadoran Armed Forces Soldiers murdered three Salvadoran citizens .,엘살바도르 국군 군인 murdered three Salvadoran citizens .,The Salvadoran Armed Forces Soldiers,엘살바도르 국군 군인,0
302,"An auto analyst for Bombay ' s Angel Broking , Vaishali Jajoo , predicted that the Nano will add only three percent to Tata ' s revenues even if it can sell a quarter of a million such cars per annum . "" That doesn ' t make a significant difference to the top line , "" Jajoo said . "" And for the bottom line , it will take five to six years to break even . "" Environmentalists say that the car will exacerbate traffic problems already rife in India , and help increase pollution levels . Tata , however , stated that its vehicle is the least polluting car in the country .","봄베이의 Angel Broking의 자동 분석가인 Vaishali Jajoo는 predicted that the Nano will add only three percent to Tata ' s revenues even if it can sell a quarter of a million such cars per annum . "" That doesn ' t make a significant difference to the top line , "" Jajoo said . "" And for the bottom line , it will take five to six years to break even . "" Environmentalists say that the car will exacerbate traffic problems already rife in India , and help increase pollution levels . Tata , however , stated that its vehicle is the least polluting car in the country .","An auto analyst for Bombay ' s Angel Broking , Vaishali Jajoo ,",봄베이의 Angel Broking의 자동 분석가인 Vaishali Jajoo는,Angel Broking is based in Bombay .,엔젤 브로킹 is based in Bombay .,Angel Broking,엔젤 브로킹,0
303,"The Italian parliament may approve a draft law allowing descendants of the exiled royal family to return home . The family was banished after the Second World War because of the King ' s collusion with the fascist regime , but moves were introduced this year to allow their return .","이탈리아 의회 may approve a draft law allowing descendants of the exiled royal family to return home . The family was banished after the Second World War because of the King ' s collusion with the fascist regime , but moves were introduced this year to allow their return .",The Italian parliament,이탈리아 의회,Italian royal family returns home .,이탈리아 왕실 returns home .,Italian royal family,이탈리아 왕실,1
